tittle,url,year,rating
1. The Shawshank Redemption,/title/tt0111161/?ref_=chttp_i_1,1994,9.3
2. The Godfather,/title/tt0068646/?ref_=chttp_i_2,1972,9.2
3. The Dark Knight,/title/tt0468569/?ref_=chttp_i_3,2008,9.1
4. The Godfather Part II,/title/tt0071562/?ref_=chttp_i_4,1974,9.0
5. 12 Angry Men,/title/tt0050083/?ref_=chttp_i_5,1957,9.0
6. The Lord of the Rings: The Return of the King,/title/tt0167260/?ref_=chttp_i_6,2003,9.0
7. Schindler's List,/title/tt0108052/?ref_=chttp_i_7,1993,9.0
8. The Lord of the Rings: The Fellowship of the Ring,/title/tt0120737/?ref_=chttp_i_8,2001,8.9
9. Pulp Fiction,/title/tt0110912/?ref_=chttp_i_9,1994,8.8
"10. Il buono, il brutto, il cattivo",/title/tt0060196/?ref_=chttp_i_10,1966,8.8
11. The Lord of the Rings: The Two Towers,/title/tt0167261/?ref_=chttp_i_11,2002,8.8
12. Forrest Gump,/title/tt0109830/?ref_=chttp_i_12,1994,8.8
13. Fight Club,/title/tt0137523/?ref_=chttp_i_13,1999,8.8
14. Inception,/title/tt1375666/?ref_=chttp_i_14,2010,8.8
15. Star Wars: Episode V - The Empire Strikes Back,/title/tt0080684/?ref_=chttp_i_15,1980,8.7
16. The Matrix,/title/tt0133093/?ref_=chttp_i_16,1999,8.7
17. GoodFellas,/title/tt0099685/?ref_=chttp_i_17,1990,8.7
18. Interstellar,/title/tt0816692/?ref_=chttp_i_18,2014,8.7
19. One Flew Over the Cuckoo's Nest,/title/tt0073486/?ref_=chttp_i_19,1975,8.6
20. Se7en,/title/tt0114369/?ref_=chttp_i_20,1995,8.6
21. It's a Wonderful Life,/title/tt0038650/?ref_=chttp_i_21,1946,8.6
22. The Silence of the Lambs,/title/tt0102926/?ref_=chttp_i_22,1991,8.6
23. Shichinin no samurai,/title/tt0047478/?ref_=chttp_i_23,1954,8.6
24. Saving Private Ryan,/title/tt0120815/?ref_=chttp_i_24,1998,8.6
25. The Green Mile,/title/tt0120689/?ref_=chttp_i_25,1999,8.6
