tittle,index,url,year,hours,rating,votes
The Shawshank Redemption,1,,1994,2h 22m,9.3,3.1M
The Godfather,2,,1972,2h 55m,9.2,2.2M
The Dark Knight,3,,2008,2h 32m,9.1,3.1M
The Godfather Part II,4,,1974,3h 22m,9.0,1.5M
12 Angry Men,5,,1957,1h 36m,9.0,955K
The Lord of the Rings: The Return of the King,6,,2003,3h 21m,9.0,2.1M
Schindler's List,7,,1993,3h 15m,9.0,1.6M
The Lord of the Rings: The Fellowship of the Ring,8,,2001,2h 58m,8.9,2.2M
Pulp Fiction,9,,1994,2h 34m,8.8,2.4M
"Il buono, il brutto, il cattivo",10,,1966,2h 41m,8.8,872K
The Lord of the Rings: The Two Towers,11,,2002,2h 59m,8.8,1.9M
Forrest Gump,12,,1994,2h 22m,8.8,2.4M
Fight Club,13,,1999,2h 19m,8.8,2.5M
Inception,14,,2010,2h 28m,8.8,2.7M
Star Wars: Episode V - The Empire Strikes Back,15,,1980,2h 4m,8.7,1.5M
The Matrix,16,,1999,2h 16m,8.7,2.2M
GoodFellas,17,,1990,2h 25m,8.7,1.4M
Interstellar,18,,2014,2h 49m,8.7,2.4M
One Flew Over the Cuckoo's Nest,19,,1975,2h 13m,8.6,1.1M
Se7en,20,,1995,2h 7m,8.6,2M
It's a Wonderful Life,21,,1946,2h 10m,8.6,537K
The Silence of the Lambs,22,,1991,1h 58m,8.6,1.7M
Shichinin no samurai,23,,1954,3h 27m,8.6,392K
Saving Private Ryan,24,,1998,2h 49m,8.6,1.6M
The Green Mile,25,,1999,3h 9m,8.6,1.5M
