Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),+ / -
Detroit Red Wings,1991,43,25,Nill,0.537,320,256,64
Edmonton Oilers,1991,36,34,Nill,0.45,295,297,-2
Hartford Whalers,1991,26,41,Nill,0.325,247,283,-36
Los Angeles Kings,1991,35,31,Nill,0.438,287,296,-9
Minnesota North Stars,1991,32,42,Nill,0.4,246,278,-32
Montreal Canadiens,1991,41,28,Nill,0.512,267,207,60
New Jersey Devils,1991,38,31,Nill,0.475,289,259,30
New York Islanders,1991,34,35,Nill,0.425,291,299,-8
New York Rangers,1991,50,25,Nill,0.625,321,246,75
Philadelphia Flyers,1991,32,37,Nill,0.4,252,273,-21
Pittsburgh Penguins,1991,39,32,Nill,0.487,343,308,35
Quebec Nordiques,1991,20,48,Nill,0.25,255,318,-63
San Jose Sharks,1991,17,58,Nill,0.212,219,359,-140
St. Louis Blues,1991,36,33,Nill,0.45,279,266,13
Toronto Maple Leafs,1991,30,43,Nill,0.375,234,294,-60
Vancouver Canucks,1991,42,26,Nill,0.525,285,250,35
Washington Capitals,1991,45,27,Nill,0.562,330,275,55
Winnipeg Jets,1991,33,32,Nill,0.412,251,244,7
Boston Bruins,1992,51,26,Nill,0.607,332,268,64
Buffalo Sabres,1992,38,36,Nill,0.452,335,297,38
Calgary Flames,1992,43,30,Nill,0.512,322,282,40
Chicago Blackhawks,1992,47,25,Nill,0.56,279,230,49
Detroit Red Wings,1992,47,28,Nill,0.56,369,280,89
Edmonton Oilers,1992,26,50,Nill,0.31,242,337,-95
Hartford Whalers,1992,26,52,Nill,0.31,284,369,-85
