company_name,company_page,website,linkedin,facebook,twitter,crunchbase,founder_name,founder_page,youtube,country
Nue.io,https://getlatka.com/companies/nue.io,https://youtu.be/gasfzyxo2xu?ref=getlatka.com,http://www.linkedin.com/company/nue-io?ref=getlatka.com,,,,Mark  Walker,https://getlatka.com/people/Mark -Walker-601,https://youtu.be/gAsfzyXO2xU?ref=getlatka.com,United States
briq,https://getlatka.com/companies/briq.com,https://www.youtube.com/watch?v=ur3axnc3zy4&ref=getlatka.com,https://www.linkedin.com/company/briqhq/?ref=getlatka.com,,,,Ron Goldshmidt,https://getlatka.com/people/ron-goldshmidt-1000,https://www.youtube.com/watch?v=ur3aXnC3zY4&ref=getlatka.com,(US)
Arcads,https://getlatka.com/companies/arcads.ai,https://www.youtube.com/watch?v=01zjqhxwmco&ref=getlatka.com,https://www.linkedin.com/company/arcads-ai/?ref=getlatka.com,,,,,https://getlatka.com/people/,https://www.youtube.com/watch?v=01zJQhxwMco&ref=getlatka.com,France
BetterPic,https://getlatka.com/companies/betterpic,https://www.youtube.com/watch?v=mvu4dd4trqk&ref=getlatka.com,,,,,,https://getlatka.com/people/,https://www.youtube.com/watch?v=mvu4dD4Trqk&ref=getlatka.com,Estonia
SubMagic,https://getlatka.com/companies/submagic.co,https://www.youtube.com/watch?v=lb6-tbpouaa&t=487s&ref=getlatka.com,https://www.linkedin.com/company/submagic?ref=getlatka.com,,,,David  Zitoun,https://getlatka.com/people/david--zitoun,https://www.youtube.com/watch?v=lB6-TBpOuAA&t=487s&ref=getlatka.com,France
Zapmail,https://getlatka.com/companies/zapmail,https://youtu.be/kkw4crswhos?ref=getlatka.com,https://www.linkedin.com/company/zapmail-ai/?ref=getlatka.com,,,,Alan D'Souza,https://getlatka.com/people/alan-dsouza,https://youtu.be/kkW4cRsWHOs?ref=getlatka.com,(US)
MarsX.dev,https://getlatka.com/companies/marsxdev,https://www.youtube.com/watch?v=tle_cjmnp6c&ref=getlatka.com,https://www.linkedin.com/company/marsx?ref=getlatka.com,,https://twitter.com/marsxdev?ref=getlatka.com,,John Rush,https://getlatka.com/people/john-rush,https://www.youtube.com/watch?v=TlE_CJMnP6c&ref=getlatka.com,(US)
Cal AI,https://getlatka.com/companies/calai.app,https://www.youtube.com/watch?v=x_hp76-nxfw&ref=getlatka.com,https://www.linkedin.com/company/cal-ai-app/?ref=getlatka.com,,,,Jake Castillo,https://getlatka.com/people/jake-castillo,https://www.youtube.com/watch?v=x_hP76-nXFw&ref=getlatka.com,(US)
Capacity,https://getlatka.com/companies/capacity,https://www.youtube.com/watch?v=7qyhaf4ob2g&ref=getlatka.com,https://www.linkedin.com/company/teamcapacity?ref=getlatka.com,,,https://www.crunchbase.com/organization/capacityai?ref=getlatka.com,David Karandish,https://getlatka.com/people/david-karandish,https://www.youtube.com/watch?v=7qyHaF4ob2g&ref=getlatka.com,(US)
TripleDart,https://getlatka.com/companies/tripledart,https://www.youtube.com/watch?v=f47kgayu-cq&ref=getlatka.com,https://www.linkedin.com/company/tripledart-digital/about/?ref=getlatka.com,,https://twitter.com/tripledart_?ref=getlatka.com,,Shiyam Sunder,https://getlatka.com/people/shiyam-sunder,https://www.youtube.com/watch?v=F47kgAYu-CQ&ref=getlatka.com,(US)
Voxpopme,https://getlatka.com/companies/voxpopme,https://youtu.be/f3owifh7uaa?ref=getlatka.com,https://www.linkedin.com/company/voxpopme?ref=getlatka.com,,,https://www.crunchbase.com/organization/voxpopme?ref=getlatka.com,Andrew Barraclough,https://getlatka.com/people/dave-carruthers,https://youtu.be/F3OwIFh7UaA?ref=getlatka.com,(US)
Pendo,https://getlatka.com/companies/pendo,https://youtu.be/ylx9roklar0?ref=getlatka.com,https://www.linkedin.com/company/pendo-io/?ref=getlatka.com,https://www.facebook.com/pendoio/?ref=getlatka.com,https://twitter.com/pendoio?ref=getlatka.com,https://www.crunchbase.com/organization/pendo-io?ref=getlatka.com,Todd Olson,https://getlatka.com/people/todd-olson,https://youtu.be/yLX9ROKLaR0?ref=getlatka.com,(US)
Issuu,https://getlatka.com/companies/issuu,https://youtu.be/8acfnijwldy?ref=getlatka.com,https://www.linkedin.com/company/issuu/?ref=getlatka.com,,,https://www.crunchbase.com/organization/issuu?ref=getlatka.com,,https://getlatka.com/people/,https://youtu.be/8acFNIJWLDY?ref=getlatka.com,(US)
Ninety.io,https://getlatka.com/companies/ninetyio,https://www.youtube.com/watch?v=i0blbui7kcw&ref=getlatka.com,https://www.linkedin.com/company/ninety-io?ref=getlatka.com,,,https://www.crunchbase.com/organization/ninety-io-software-for-eos?ref=getlatka.com,Tim Weerasiri,https://getlatka.com/people/tim-weerasiri-ninety.io,https://www.youtube.com/watch?v=i0bLbuI7kcw&ref=getlatka.com,(US)
Reveleer,https://getlatka.com/companies/reveleer,https://www.youtube.com/watch?v=hkzw7owy2jc&ref=getlatka.com,https://www.linkedin.com/company/reveleer/?ref=getlatka.com,,,https://www.crunchbase.com/organization/reveleer?ref=getlatka.com,,https://getlatka.com/people/,https://www.youtube.com/watch?v=HKzW7OWy2Jc&ref=getlatka.com,(US)
Proposify,https://getlatka.com/companies/proposify,https://youtu.be/ahrsk5u7az0?ref=getlatka.com,https://www.linkedin.com/company/proposify/?ref=getlatka.com,,,https://www.crunchbase.com/organization/proposify?ref=getlatka.com,Kyle Racki,https://getlatka.com/people/kyle-racki,https://youtu.be/AHrSk5u7az0?ref=getlatka.com,(CA)
BrightEdge,https://getlatka.com/companies/brightedge,https://www.youtube.com/watch?v=zmvdgnvenca&ref=getlatka.com,https://www.linkedin.com/company/brightedge?ref=getlatka.com,https://www.facebook.com/seoplatform?ref=getlatka.com,http://twitter.com/brightedge?ref=getlatka.com,https://www.crunchbase.com/organization/brightedge?ref=getlatka.com,Jim Yu,https://getlatka.com/people/jim-yu,https://www.youtube.com/watch?v=zMVdgNveNCA&ref=getlatka.com,(US)
Celigo,https://getlatka.com/companies/celigo,https://youtu.be/wpp43acp5zm?ref=getlatka.com,https://www.linkedin.com/company/celigo-inc?ref=getlatka.com,https://www.facebook.com/celigoinc/?ref=getlatka.com,https://twitter.com/celigoinc?ref=getlatka.com,https://www.crunchbase.com/organization/celigo?ref=getlatka.com,Jan Arendtsz,https://getlatka.com/people/jan-arendtsz,https://youtu.be/WPp43acP5zM?ref=getlatka.com,(US)
Netcore Cloud,https://getlatka.com/companies/netcore-cloud,https://www.youtube.com/watch?v=rr5u00vdq5a&ref=getlatka.com,https://www.linkedin.com/company/netcore-cloud/?ref=getlatka.com,https://www.facebook.com/netcorecloud/?ref=getlatka.com,https://twitter.com/netcore_cloud?ref=getlatka.com,https://www.crunchbase.com/organization/netcore-solutions?ref=getlatka.com,Rajesh Jain,https://getlatka.com/people/rajesh-jain,https://www.youtube.com/watch?v=RR5U00VDq5A&ref=getlatka.com,(IN)
Hootsuite,https://getlatka.com/companies/hootsuite,https://youtu.be/keohmwulkm0?ref=getlatka.com,https://ca.linkedin.com/company/hootsuite?ref=getlatka.com,https://www.facebook.com/hootsuite?ref=getlatka.com,https://twitter.com/hootsuite?ref=getlatka.com,https://www.crunchbase.com/organization/hootsuite?ref=getlatka.com,Irina Novoselsky,https://getlatka.com/people/ryan-holmes,https://youtu.be/kEOHmwulkm0?ref=getlatka.com,(CA)
