,Product Name,Product Image,Product Price,Product Avail
0,A Light in the ...,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,Â£51.77,In stock
1,Tipping the Velvet,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,Â£53.74,In stock
2,Soumission,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,Â£50.10,In stock
3,Sharp Objects,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,Â£47.82,In stock
4,Sapiens: A Brief History ...,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,Â£54.23,In stock
5,The Requiem Red,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,Â£22.65,In stock
6,The Dirty Little Secrets ...,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,Â£33.34,In stock
7,The Coming Woman: A ...,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,Â£17.93,In stock
8,The Boys in the ...,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,Â£22.60,In stock
9,The Black Maria,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,Â£52.15,In stock
10,Starving Hearts (Triangular Trade ...,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,Â£13.99,In stock
11,Shakespeare's Sonnets,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,Â£20.66,In stock
12,Set Me Free,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,Â£17.46,In stock
13,Scott Pilgrim's Precious Little ...,../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,Â£52.29,In stock
14,Rip it Up and ...,../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,Â£35.02,In stock
15,Our Band Could Be ...,../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,Â£57.25,In stock
16,Olio,../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,Â£23.88,In stock
17,Mesaerion: The Best Science ...,../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,Â£37.59,In stock
18,Libertarianism for Beginners,../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,Â£51.33,In stock
19,It's Only the Himalayas,../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,Â£45.17,In stock
20,In Her Wake,../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,Â£12.84,In stock
21,How Music Works,../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,Â£37.32,In stock
22,Foolproof Preserving: A Guide ...,../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,Â£30.52,In stock
23,Chase Me (Paris Nights ...,../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,Â£25.27,In stock
24,Black Dust,../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,Â£34.53,In stock
25,Birdsong: A Story in ...,../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,Â£54.64,In stock
26,America's Cradle of Quarterbacks: ...,../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,Â£22.50,In stock
