Team_name,Year,Wins,Losses,Ot_losses,Win_%,Goal_for,Goal_Against,+/-,win%
Detroit Red Wings,1991,43,25,,,320,256,64,0.537
Edmonton Oilers,1991,36,34,,,295,297,-2,0.45
Hartford Whalers,1991,26,41,,,247,283,-36,0.325
Los Angeles Kings,1991,35,31,,,287,296,-9,0.438
Minnesota North Stars,1991,32,42,,,246,278,-32,0.4
Montreal Canadiens,1991,41,28,,,267,207,60,0.512
New Jersey Devils,1991,38,31,,,289,259,30,0.475
New York Islanders,1991,34,35,,,291,299,-8,0.425
New York Rangers,1991,50,25,,,321,246,75,0.625
Philadelphia Flyers,1991,32,37,,,252,273,-21,0.4
Pittsburgh Penguins,1991,39,32,,,343,308,35,0.487
Quebec Nordiques,1991,20,48,,,255,318,-63,0.25
San Jose Sharks,1991,17,58,,,219,359,-140,0.212
St. Louis Blues,1991,36,33,,,279,266,13,0.45
Toronto Maple Leafs,1991,30,43,,,234,294,-60,0.375
Vancouver Canucks,1991,42,26,,,285,250,35,0.525
Washington Capitals,1991,45,27,,,330,275,55,0.562
Winnipeg Jets,1991,33,32,,,251,244,7,0.412
Boston Bruins,1992,51,26,,,332,268,64,0.607
Buffalo Sabres,1992,38,36,,,335,297,38,0.452
Calgary Flames,1992,43,30,,,322,282,40,0.512
Chicago Blackhawks,1992,47,25,,,279,230,49,0.56
Detroit Red Wings,1992,47,28,,,369,280,89,0.56
Edmonton Oilers,1992,26,50,,,242,337,-95,0.31
Hartford Whalers,1992,26,52,,,284,369,-85,0.31
