Country Name,Capital,Population,Area
United Arab Emirates,Abu Dhabi,4975593,82880.0
Anguilla,The Valley,13254,102.0
Angola,Luanda,13068161,1246700.0
American Samoa,Pago Pago,57881,199.0
Aruba,Oranjestad,71566,193.0
Bosnia and Herzegovina,Sarajevo,4590000,51129.0
Belgium,Brussels,10403000,30510.0
Bahrain,Manama,738004,665.0
Saint Barthélemy,Gustavia,8450,21.0
Bolivia,Sucre,9947418,1098580.0
Bahamas,Nassau,301790,13940.0
Botswana,Gaborone,2029307,600370.0
Canada,Ottawa,33679000,9984670.0
Central African Republic,Bangui,4844927,622984.0
Ivory Coast,Yamoussoukro,21058798,322460.0
Cameroon,Yaoundé,19294149,475440.0
Costa Rica,San José,4516220,51100.0
Curacao,Willemstad,141766,444.0
Czech Republic,Prague,10476000,78866.0
Denmark,Copenhagen,5484000,43094.0
Algeria,Algiers,34586184,2381740.0
Egypt,Cairo,80471869,1001450.0
Spain,Madrid,46505963,504782.0
Fiji,Suva,875983,18270.0
Faroe Islands,Tórshavn,48228,1399.0
United Kingdom,London,62348447,244820.0
French Guiana,Cayenne,195506,91000.0
Gibraltar,Gibraltar,27884,6.5
Guinea,Conakry,10324025,245857.0
Greece,Athens,11000000,131940.0
Guam,Hagåtña,159358,549.0
Hong Kong,Hong Kong,6898686,1092.0
Croatia,Zagreb,4491000,56542.0
Indonesia,Jakarta,242968342,1919440.0
Isle of Man,Douglas,75049,572.0
Iraq,Baghdad,29671605,437072.0
Italy,Rome,60340328,301230.0
Jordan,Amman,6407085,92300.0
Kyrgyzstan,Bishkek,5776500,198500.0
Comoros,Moroni,773407,2170.0
South Korea,Seoul,48422644,98480.0
Kazakhstan,Astana,15340000,2717300.0
Saint Lucia,Castries,160922,616.0
Liberia,Monrovia,3685076,111370.0
Luxembourg,Luxembourg,497538,2586.0
Morocco,Rabat,31627428,446550.0
Montenegro,Podgorica,666730,14026.0
Marshall Islands,Majuro,65859,181.3
Myanmar [Burma],Naypyitaw,53414374,678500.0
Northern Mariana Islands,Saipan,53883,477.0
Montserrat,Plymouth,9341,102.0
Maldives,Malé,395650,300.0
Malaysia,Kuala Lumpur,28274729,329750.0
New Caledonia,Noumea,216494,19060.0
Nigeria,Abuja,154000000,923768.0
Norway,Oslo,5009150,324220.0
Niue,Alofi,2166,260.0
Panama,Panama City,3410676,78200.0
Papua New Guinea,Port Moresby,6064515,462840.0
Poland,Warsaw,38500000,312685.0
Puerto Rico,San Juan,3916632,9104.0
Palau,Melekeok,19907,458.0
Réunion,Saint-Denis,776948,2517.0
Russia,Moscow,140702000,1.71E7
Solomon Islands,Honiara,559198,28450.0
Sweden,Stockholm,9828655,449964.0
Slovenia,Ljubljana,2007000,20273.0
Sierra Leone,Freetown,5245695,71740.0
Somalia,Mogadishu,10112453,637657.0
São Tomé and Príncipe,São Tomé,175808,1001.0
Syria,Damascus,22198110,185180.0
Chad,N'Djamena,10543464,1284000.0
Thailand,Bangkok,67089500,514000.0
East Timor,Dili,1154625,15007.0
Tonga,Nuku'alofa,122580,748.0
Tuvalu,Funafuti,10472,26.0
Ukraine,Kiev,45415596,603700.0
United States,Washington,310232863,9629091.0
Vatican City,Vatican City,921,0.44
British Virgin Islands,Road Town,21730,153.0
Vanuatu,Port Vila,221552,12200.0
Kosovo,Pristina,1800000,10908.0
South Africa,Pretoria,49000000,1219912.0
