,product_name,product_link,product_img,product_price,product_details,product_reviews_number
0,Asus VivoBook X441NA-GA190,/test-sites/e-commerce/allinone/product/60,/images/test-sites/e-commerce/items/cart2.png,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",14 reviews
1,Aspire E1-510,/test-sites/e-commerce/allinone/product/32,/images/test-sites/e-commerce/items/cart2.png,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",2 reviews
2,Hewlett Packard 250 G6 Dark Ash Silver,/test-sites/e-commerce/allinone/product/65,/images/test-sites/e-commerce/items/cart2.png,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",12 reviews
3,Acer Aspire ES1-572 Black,/test-sites/e-commerce/allinone/product/68,/images/test-sites/e-commerce/items/cart2.png,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",9 reviews
4,Asus VivoBook Max,/test-sites/e-commerce/allinone/product/45,/images/test-sites/e-commerce/items/cart2.png,$399,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",4 reviews
5,Acer Aspire 3 A315-31 Black,/test-sites/e-commerce/allinone/product/73,/images/test-sites/e-commerce/items/cart2.png,$408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews
6,Asus VivoBook 15 X540NA-GQ026T,/test-sites/e-commerce/allinone/product/76,/images/test-sites/e-commerce/items/cart2.png,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4 reviews
7,Acer Aspire 3 A315-51,/test-sites/e-commerce/allinone/product/78,/images/test-sites/e-commerce/items/cart2.png,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",1 reviews
8,Acer Aspire ES1-572 Black,/test-sites/e-commerce/allinone/product/81,/images/test-sites/e-commerce/items/cart2.png,$454.62,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",9 reviews
9,Lenovo V110-15IKB,/test-sites/e-commerce/allinone/product/84,/images/test-sites/e-commerce/items/cart2.png,$465.95,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",7 reviews
10,Lenovo V510 Black,/test-sites/e-commerce/allinone/product/87,/images/test-sites/e-commerce/items/cart2.png,$484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",8 reviews
