Product Name,Product Link,Product Image,Product Price,Product Details,Product Reviews Number
Asus VivoBook...,/test-sites/e-commerce/allinone/product/60,/images/test-sites/e-commerce/items/cart2.png,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",14 reviews
Prestigio Smar...,/test-sites/e-commerce/allinone/product/61,/images/test-sites/e-commerce/items/cart2.png,$299,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",8 reviews
Prestigio Smar...,/test-sites/e-commerce/allinone/product/62,/images/test-sites/e-commerce/items/cart2.png,$299,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",12 reviews
Aspire E1-510,/test-sites/e-commerce/allinone/product/32,/images/test-sites/e-commerce/items/cart2.png,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",2 reviews
Lenovo V110-15...,/test-sites/e-commerce/allinone/product/63,/images/test-sites/e-commerce/items/cart2.png,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",5 reviews
Lenovo V110-15...,/test-sites/e-commerce/allinone/product/64,/images/test-sites/e-commerce/items/cart2.png,$356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",6 reviews
Hewlett Packar...,/test-sites/e-commerce/allinone/product/65,/images/test-sites/e-commerce/items/cart2.png,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",12 reviews
Acer Aspire 3...,/test-sites/e-commerce/allinone/product/66,/images/test-sites/e-commerce/items/cart2.png,$372.7,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2 reviews
Acer Aspire A3...,/test-sites/e-commerce/allinone/product/67,/images/test-sites/e-commerce/items/cart2.png,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",0 reviews
Acer Aspire ES...,/test-sites/e-commerce/allinone/product/68,/images/test-sites/e-commerce/items/cart2.png,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",9 reviews
