name,url,img_url
Carettochelyidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Carettochelyidae,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Carettochelys_insculpta.jpg/200px-Carettochelys_insculpta.jpg
Cheloniidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Cheloniidae,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/GreenSeaTurtle-2.jpg/200px-GreenSeaTurtle-2.jpg
Chelydridae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Chelydridae,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Alligator_snapping_turtle.jpg/200px-Alligator_snapping_turtle.jpg
Dermatemydidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Dermatemydidae,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Dermatemydidae.JPG/200px-Dermatemydidae.JPG
Dermochelyidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Dermochelyidae,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/LeatherbackTurtle.jpg/200px-LeatherbackTurtle.jpg
Emydidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Emydidae,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Tortoise1_cepolina.jpg/200px-Tortoise1_cepolina.jpg
Geoemydidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Geoemydidae,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Cuora_amboinensis_kamaroma_j.jpg/200px-Cuora_amboinensis_kamaroma_j.jpg
Kinosternidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Kinosternidae,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Sternotherus_odoratus.jpg/200px-Sternotherus_odoratus.jpg
Platysternidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Platysternidae,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Zolw_wielkoglowy.jpg/200px-Zolw_wielkoglowy.jpg
Testudinidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Testudinidae,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Tortoise.aldabra.750pix.jpg/200px-Tortoise.aldabra.750pix.jpg
Trionychidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Trionychidae,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Apalone_spinifera.jpg/200px-Apalone_spinifera.jpg
Chelidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Chelidae,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Eastern_long_neck_tortoise_-_chelodina_longicollis.jpg/200px-Eastern_long_neck_tortoise_-_chelodina_longicollis.jpg
Pelomedusidae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Pelomedusidae,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Pelomedusa_subrufa.JPG/200px-Pelomedusa_subrufa.JPG
Podocnemididae,https://www.scrapethissite.com//pages/frames/?frame=i&family=Podocnemididae,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Erymnochelys_madagascariensis.jpg/200px-Erymnochelys_madagascariensis.jpg
