company name,Establishment year,location,main_link,profile_link,Contact number
Khatri Interior Design and Fit-Out,2007 Established,"Address: 133 Al Ittihad Rd - Dubai, UAE",,/company/344684/al-khatri-interior-designfit-out,+971 56 105 4946
Al Jazeerah Pest Control & Cleaning Service ,2011 Established,"Address: International City England , Dubai, UAE",,/company/355527/al-jazeerah-pest-controlcleaning-service,+971 4 450 3654
Hassan Elhais - Professional Lawyer,2003 Established,"Address: The H Hotel Office Tower 29th Floor, Sheikh Zayed Road, Dubai, United Arab Emirates, UAE",,/company/350653/hassan-elhais-professional-lawyer,+971 4 355 8000
Axis Passenger Transport Bus Rent LLC,2006 Established,"Address: Office No 9 Home Shop Building,umm Ramool, Dubai, UAE",,/company/346658/axis-passenger-transport-bus-rentllc,+971 4 285 5045
MENA Research Partners,2013 Established,"Address: Emirates Towers, 41st floor Sheikh Zayed Road Dubai, Po Box 31303, UAE",,/company/367668/mena-research-partners,+971 50 813 3520
Mas Transport ,2015 Established,"Address: Ras Al Khor Industrial Area - Ras Al Khor Industrial Area 2, Dubai, UAE",,/company/351780/mas-transport,+971 4 336 6450
INFINITY Innovations General Trading LLC,2011 Established,"Address: Office 105, A.S.B. Tower, Dubai Silicon Oasis, UAE",,/company/317508/infinity-innovations-general-trading-llc,+971 4 392 2994
MOK Building Maintenance L.L.C,2014 Established,"Address: Dubai Marina, Dubai U.A.E, UAE",,/company/363959/m-o-k-building-maintenance-llc,+971 55 524 8568
HHA Diving Services LLC,2017 Established,"Address: Dubai International City, UAE",,/company/375427/hha-diving-services-llc,+971 56 162 4008
Instylea,2024 Established,"Address: Instylea LLC-FZ Meydan Grandstand 6th, Floor Meydan Road, Nad Al Sheba, Dubai, UAE",,/company/375417/instylea,+971552172343
Amidas Securitec LLC,2005 Established,"Address: Plt. MO 543A St. 302N, Jebel Ali Free Zone, Dubai, UAE",,/company/349348/amidas-securitec-llc,+971 4 887 3291
Ibrahim Khan Passenger Transport,2001 Established,"Address: Al Awir Road, Nadd Al Hamar, Al Mansuri Building, Office No. 03, Next to Bilasa Driving, Dubai, UAE",,/company/344698/ibrahim-khan-passenger-transport,+971 4 224 0945
Fast Repair Care Dubai,2002 Established,"Address: G7 Shop, G7 Building - Al Karama, Dubai, UAE",,/company/367793/fast-repair-care-dubai,+971 52 245 1145
Corporate Research & Investigations LLC ,1990 Established,"Address: Liberty House , Dubai, UAE",,/company/348518/corporate-researchinvestigations-llc,+971 4 358 9884
Eyewa,2017 Established,"Address: Ground floor, Dubai Festival City - Crescent Dr - opposite to Zara - Dubai Festival City, UAE",,/company/367820/eyewa,+971 4 247 2979
English Way Language Training FZ LLC,2025 Established,"Address: Dubai Knowledge park, Block 3, Office 101, UAE",,/company/375458/english-way-language-training-fz-llc,97143200020
Gulf Got Talents - Modeling & Casting Agency Dubai,2024 Established,"Address: 607, M Square, Bur Dubai, Dubai, UAE",,/company/375411/gulf-got-talents-modelingcasting-agency-dubai,+97142999230
Cactix,2011 Established,"Address: Office 207, Wing B, Headquarters Building, Dubai Silicon Oasis, UAE",,/company/353787/cactix,+971 4 591 9665
Office One LLC,2007 Established,"Address: Al Quoz Industrial 1, Street 4B, Dubai, UAE",,/company/347010/office-one-llc,+971 4 380 4009
Car Park Shades Al Muzalaat Building Maintenance ,2002 Established,"Address: Al Quoz, Dubai, UAE",,/company/355454/car-park-shades-al-muzalaat-building-maintenance,+971 54 383 9003
