name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company facebook,Company Twitter
Customer.io,https://www.linkedin.com/company/customer-io/?ref=getlatka.com,https://www.crunchbase.com/organization/customer-io?ref=getlatka.com,//customer.io/?ref=getlatka.com,(US),Elizabeth Tse,,
Boomerang,https://www.linkedin.com/company/baydin?ref=getlatka.com,,//boomerangapp.com/?ref=getlatka.com,(US),Mike Chin,,
Retention.com,https://www.linkedin.com/company/retention-dot-com/?ref=getlatka.com,,//retention.com/?ref=getlatka.com,(US),Keleigh Spinner,https://www.facebook.com/RetentionDotCom?ref=getlatka.com,https://twitter.com/Retentiondotcom?ref=getlatka.com
PAR Technology,https://www.linkedin.com/company/partechnology?ref=getlatka.com,,//partech.com/?ref=getlatka.com,(US),Savneet Singh,https://www.facebook.com/parpointofsale/?ref=getlatka.com,https://twitter.com/PAR_Tech?ref=getlatka.com
Craver,https://www.linkedin.com/company/craver-solutions/?originalSubdomain=ca&ref=getlatka.com,,//craverapp.com/?ref=getlatka.com,(CA),Amin  Yazdani,https://www.facebook.com/craverapp/?ref=getlatka.com,https://x.com/craver_app_?ref=getlatka.com
GTMfund,https://www.linkedin.com/company/gtmfund/about/?ref=getlatka.com,,//gtmfund.com/?ref=getlatka.com,(US),Sophie  Buonassisi,,
Flowcase (formerly CV Partner),https://www.linkedin.com/company/cv-partner/?originalSubdomain=uk&ref=getlatka.com,,//cvpartner.com/?ref=getlatka.com,(GB),Erling Linde,,
ActiveCampaign,https://www.linkedin.com/company/activecampaign-inc-?ref=getlatka.com,https://www.crunchbase.com/organization/activecampaign?ref=getlatka.com,//activecampaign.com/?ref=getlatka.com,(US),Jason VandeBoom,https://www.facebook.com/activecampaign?ref=getlatka.com,https://twitter.com/ActiveCampaign?ref=getlatka.com
GetDynasty,https://www.linkedin.com/company/getdynasty/?ref=getlatka.com,,//getdynasty.com/?ref=getlatka.com,(US),Alessandro Chesser,https://www.facebook.com/getdynastycom?ref=getlatka.com,https://twitter.com/getdynasty_com?ref=getlatka.com
Beehiiv,https://www.linkedin.com/company/beehiiv/?ref=getlatka.com,,//beehiiv.com/?ref=getlatka.com,United States,Tyler Denk,,https://twitter.com/beehiiv/?ref=getlatka.com
SaaS Group,https://www.linkedin.com/company/saas-group/?ref=getlatka.com,,//saas.group/?ref=getlatka.com,(US),Facundo Farias,,https://twitter.com/SaaS_group?ref=getlatka.com
Flodesk,https://www.linkedin.com/company/flodesk?ref=getlatka.com,,//flodesk.com/?ref=getlatka.com,(US),Rebecca Shostak,,https://twitter.com/?ref=getlatka.com
Muck Rack,https://www.linkedin.com/company/muckrack/?ref=getlatka.com,https://www.crunchbase.com/organization/muckrack?ref=getlatka.com,//muckrack.com/?ref=getlatka.com,(US),Gregory Galant,,
Younium,https://www.linkedin.com/company/younium?ref=getlatka.com,https://www.crunchbase.com/organization/younium?ref=getlatka.com,//younium.com/?ref=getlatka.com,Sweden,Niclas Lilja,,https://twitter.com/younium?ref=getlatka.com
LMS 365,https://www.linkedin.com/company/lms365/?ref=getlatka.com,,//lms365.com/?ref=getlatka.com,Denmark,Maria Herrejon Skoglund,https://www.facebook.com/lms365?ref=getlatka.com,https://twitter.com/lms365?ref=getlatka.com
SEMrush,https://www.linkedin.com/company/semrush/?ref=getlatka.com,https://www.crunchbase.com/organization/semrush?ref=getlatka.com,//semrush.com/?ref=getlatka.com,(US),Eugene Levin,https://www.facebook.com/SEMrush?ref=getlatka.com,https://twitter.com/semrush?ref=getlatka.com
Crossbeam,https://www.linkedin.com/company/getcrossbeam?ref=getlatka.com,https://www.crunchbase.com/organization/crossbeam?ref=getlatka.com,//crossbeam.com/?ref=getlatka.com,(US),Bob Moore,,
Typeform,https://www.linkedin.com/company/typeform-com?ref=getlatka.com,https://www.crunchbase.com/organization/typeform?ref=getlatka.com,//typeform.com/?ref=getlatka.com,Spain,Joaquim Lecha,https://www.facebook.com/typeform/?ref=getlatka.com,https://twitter.com/typeform/?ref=getlatka.com
Ahrefs,https://www.linkedin.com/company/ahrefs/?ref=getlatka.com,https://www.crunchbase.com/organization/ahrefs?ref=getlatka.com,//ahrefs.com/?ref=getlatka.com,Singapore,Dmytro Gerasymenko,https://www.facebook.com/Ahrefs/?ref=getlatka.com,https://twitter.com/ahrefs?ref=getlatka.com
Goldcast,https://www.linkedin.com/company/goldcastevents?ref=getlatka.com,https://www.crunchbase.com/organization/goldcast?ref=getlatka.com,//goldcast.io/?ref=getlatka.com,(US),Palash Soni,,https://twitter.com/goldcast?ref=getlatka.com
