,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company Twitter
0,Referrizer,https://www.linkedin.com/company/referrizer-llc/?ref=getlatka.com,https://www.crunchbase.com/organization/referrizer?ref=getlatka.com,//referrizer.com/?ref=getlatka.com, (US),Andre Cvijovic,
1,Curate,https://www.linkedin.com/company/curatesoftware/?ref=getlatka.com,,//curate.co/?ref=getlatka.com,United States,Ryan O'Neil,
2,Salesmsg,https://www.linkedin.com/company/salesmsg/?ref=getlatka.com,,//salesmessage.com/?ref=getlatka.com, (US),Chris Brisson,
3,DocSales,https://www.linkedin.com/company/docsales?ref=getlatka.com,https://www.crunchbase.com/organization/docs-sales?ref=getlatka.com,//docsales.com/?ref=getlatka.com, (US),Mauricio Kigiela,
4,Time Control,https://www.linkedin.com/company/hms-software?ref=getlatka.com,,//timecontrol.com/?ref=getlatka.com, (CA),Chris Vandersluis,
5,Folderly,https://www.linkedin.com/company/folderly/?ref=getlatka.com,https://www.crunchbase.com/organization/folderly?ref=getlatka.com,//folderly.com/?ref=getlatka.com, (US),Vladislav Podolyako,
6,Aloha (formerly Review Wave),https://www.linkedin.com/company/getaloha?ref=getlatka.com,https://www.crunchbase.com/organization/review-wave?ref=getlatka.com,//reviewwave.com/?ref=getlatka.com, (US),Kandace Cortez,
7,Vroozi,https://www.linkedin.com/company/vroozi/?ref=getlatka.com,https://www.crunchbase.com/organization/vroozi?ref=getlatka.com,//vroozi.com/?ref=getlatka.com, (US),Shaz Khan,
8,Rallyware,https://www.linkedin.com/company/rallyware?ref=getlatka.com,https://www.crunchbase.com/organization/rallyware?ref=getlatka.com,//rallyware.com/?ref=getlatka.com, (US),George Elfond,
9,Crystal Knows,https://www.linkedin.com/company/crystal_knows?ref=getlatka.com,https://www.crunchbase.com/organization/crystalknows?ref=getlatka.com,//crystalknows.com/?ref=getlatka.com, (US),Drew D'Agostino,
10,Grasshopper,https://www.linkedin.com/company/grasshopper?ref=getlatka.com,https://www.crunchbase.com/organization/grasshopper?ref=getlatka.com,//grasshopper.com/?ref=getlatka.com, (US),Siamak Taghaddos,https://twitter.com/Grasshopper?ref=getlatka.com
11,x0pa,https://www.linkedin.com/company/x0papredictiveanalytics?ref=getlatka.com,,//x0pa.com/?ref=getlatka.com,Singapore,Nina  Suri,
12,Limelighthealth,https://www.linkedin.com/company/limelight-health?ref=getlatka.com,https://www.crunchbase.com/organization/limelighthealth?ref=getlatka.com,//limelighthealth.com/?ref=getlatka.com, (US),Jason Andrew,
13,Tenfold,,,//tenfold.com/?ref=getlatka.com, (US),Dan Sincavage,
14,Supportninja,https://in.linkedin.com/company/supportninja?ref=getlatka.com,https://www.crunchbase.com/organization/supportninja?ref=getlatka.com,//supportninja.com/?ref=getlatka.com, (US),Craig Crisler,
15,Clipdrop.io,https://www.linkedin.com/company/clipdropvideo?ref=getlatka.com,,//clipdrop.io/?ref=getlatka.com,,jonnathan koch,
16,shareplay,https://www.linkedin.com/in/shareplay-india/?ref=getlatka.com,,//shareplay.in/?ref=getlatka.com, (IN),Shyam Rajamani,
17,Aida Soft,,,//aidasoft.net/?ref=getlatka.com,,Joe Long,
18,Leadmonk,https://www.linkedin.com/company/leadmonk/?ref=getlatka.com,,//leadmonk.io/?ref=getlatka.com, (IN),Naveen S G,
19,G2Xchange,https://www.linkedin.com/company/g2xchange-llc/?ref=getlatka.com,,//g2xchange.com/?ref=getlatka.com,,Ron Jones,
