,name,Company linkedIn,website url,company location,company founder,Company Crunchbase,Company Twitter,Company facebook
0,UpCred,https://www.linkedin.com/company/upcred/?ref=getlatka.com,//upcred.ai/?ref=getlatka.com, (IN),Dharmpal Chaudhary,,,
1,WordLift,https://www.linkedin.com/company/wordlift?ref=getlatka.com,//wordlift.io/?ref=getlatka.com,Italy,Andrea Volpini,https://www.crunchbase.com/organization/wordlift?ref=getlatka.com,,
2,SaaStock,https://www.linkedin.com/company/saastock/?ref=getlatka.com,//saastock.com/?ref=getlatka.com, (GB),Alex Theuma,https://www.crunchbase.com/organization/saastock?ref=getlatka.com,https://twitter.com/SaaStock?ref=getlatka.com,
3,Nuvepro,https://www.linkedin.com/company/nuvepro-technologies-private-ltd?ref=getlatka.com,//nuvepro.com/?ref=getlatka.com, (IN),Giridhar LV,,,
4,GoodTime,https://www.linkedin.com/company/goodtime.io/?ref=getlatka.com,//goodtime.io/?ref=getlatka.com, (US),Ahryun Moon,https://www.crunchbase.com/organization/goodtime-2?ref=getlatka.com,,
5,Encapture,https://www.linkedin.com/company/encapture-tech/?ref=getlatka.com,//encapture.com/?ref=getlatka.com, (US),Will Robinson,,,
6,HBox,https://www.linkedin.com/company/hboxai/?ref=getlatka.com,//hbox.ai/?ref=getlatka.com, (US),Banu Dhanakoti,,,
7,Austin Artificial Intelligence,https://www.linkedin.com/company/austin-artificial-intelligence-inc?ref=getlatka.com,//austinai.io/?ref=getlatka.com, (US),Robert Corwin,,,
8,Surefire Local,https://www.linkedin.com/company/surefire-local?ref=getlatka.com,//surefirelocal.com/?ref=getlatka.com, (US),Chris Marentis,https://www.crunchbase.com/organization/surefirelocal?ref=getlatka.com,,
9,Growth Era,https://www.linkedin.com/company/nextsales-io/?ref=getlatka.com,//growthera.com/?ref=getlatka.com, (US),Bryce  Kaspar,,,
10,YouMail,https://www.linkedin.com/company/youmail-inc/?ref=getlatka.com,//youmail.com/?ref=getlatka.com, (US),Alex Quilici,https://www.crunchbase.com/organization/youmail?ref=getlatka.com,,
11,carbonze,https://www.linkedin.com/company/carbonze?ref=getlatka.com,//carbonze.com/?ref=getlatka.com,Germany,Gokhan Gureser,,,
12,Yellow.ai,https://www.linkedin.com/company/yellowdotai?ref=getlatka.com,//yellow.ai/?ref=getlatka.com, (US),Raghu Ravinutala,https://www.crunchbase.com/organization/yellow-messenger?ref=getlatka.com,https://twitter.com/yellowdotai?ref=getlatka.com,https://www.facebook.com/YellowDotAI/?ref=getlatka.com
13,Leon,https://www.linkedin.com/company/myleon/?ref=getlatka.com,//leonvc.com/?ref=getlatka.com, (US),Bryan Smith,,,
14,Campus Tree,https://www.linkedin.com/company/campus-tree/?ref=getlatka.com,//campustree.live/?ref=getlatka.com, (US),Justin Arenson,,,
15,TABS Suite,https://www.linkedin.com/company/tabs-group/?ref=getlatka.com,//tabsscore.com/?ref=getlatka.com,Singapore,Unnat Bak,,,
16,Waldo Labs,https://www.linkedin.com/company/heywaldo/?ref=getlatka.com,//heywaldo.io/?ref=getlatka.com, (US),Taylor Berghane,,,
17,Fitbots,https://www.linkedin.com/company/14501050/admin/?ref=getlatka.com,//fitbots.com/?ref=getlatka.com,Singapore,Vidya Santhanam,,,
18,FormPiper,https://www.linkedin.com/company/form-piper/?ref=getlatka.com,//formpiper.com/?ref=getlatka.com, (US),Brad Parker,https://www.crunchbase.com/organization/form-piper?ref=getlatka.com,,
19,Claap,https://www.linkedin.com/company/claap-io/?ref=getlatka.com,//claap.io/?ref=getlatka.com,France,Pierre Touzeau,https://www.crunchbase.com/organization/claap?ref=getlatka.com,,
