,name,Company linkedIn,website url,company location,company founder,Company Twitter,Company Crunchbase
0,LlamaFinancial,https://www.linkedin.com/company/llamafinancial?ref=getlatka.com,//llamafinancial.com/?ref=getlatka.com,Italy,Filippo Burattini,,
1,Maynuu,https://www.linkedin.com/company/maynuu-commerce?ref=getlatka.com,//maynuu.com/?ref=getlatka.com,Singapore,Aaron D'Cruz,https://twitter.com/maynuuMY?ref=getlatka.com,
2,Datanchor,https://www.linkedin.com/company/datanchor?ref=getlatka.com,//anchormydata.com/?ref=getlatka.com, (US),Emre Koksal,,
3,Adadot,https://www.linkedin.com/company/adadot/?ref=getlatka.com,//adadot.com/?ref=getlatka.com, (GB),Alex Harris,,
4,JustiFi,https://www.linkedin.com/company/justifi-payments/?ref=getlatka.com,//justifi.ai/?ref=getlatka.com, (US),Joe Keeley,,
5,Digital Seat Media,https://www.linkedin.com/company/digital-seat-media?ref=getlatka.com,//digitalseat.com/?ref=getlatka.com, (US),Cameron Fowler,,
6,Subskryb,https://www.linkedin.com/company/subskryb/?ref=getlatka.com,//subskryb.com/?ref=getlatka.com, (CA),Giovanni Smith,,
7,Mass Mobile Apps,https://www.linkedin.com/company/mass-mobile-inc/?viewAsMember=true&ref=getlatka.com,//massmobileapps.com/?ref=getlatka.com, (CA),Ali Ispahany,,
8,Cal.com,https://www.linkedin.com/company/74475662?ref=getlatka.com,//cal.com/?ref=getlatka.com, (US),Bailey Pumfleet,https://twitter.com/calcom?ref=getlatka.com,https://www.crunchbase.com/organization/calendso?ref=getlatka.com
9,DriveX,https://www.linkedin.com/company/drivextechnologies/?ref=getlatka.com,//drivex.io/?ref=getlatka.com,Estonia,Rauno Sigur,,
10,Gravity Sketch,https://www.linkedin.com/company/gravitysketch/?ref=getlatka.com,//gravitysketch.com/?ref=getlatka.com, (GB),Oluwaseyi Sosanya,,https://www.crunchbase.com/organization/gravity-2?ref=getlatka.com
11,Selecteev,https://www.linkedin.com/company/18983988/admin/?ref=getlatka.com,//selecteev.io/?ref=getlatka.com,France,Alban Dumouilla,,
12,Flexee,https://www.linkedin.com/company/flexee-money?ref=getlatka.com,//flexee.eu/?ref=getlatka.com,Poland,Andrzej Nowak,,https://www.crunchbase.com/organization/flexee?ref=getlatka.com
13,Altogic,https://www.linkedin.com/company/altogic?ref=getlatka.com,//altogic.com/?ref=getlatka.com,Turkey,Ümit Çakmak,,
14,Llama Life,https://www.linkedin.com/company/llama-life-co?ref=getlatka.com,//llamalife.co/?ref=getlatka.com,Australia,Marie Ng,,https://www.crunchbase.com/organization/llama-life?ref=getlatka.com
15,Avify,https://www.linkedin.com/company/avify-co?ref=getlatka.com,//avify.com/?ref=getlatka.com,Mexico,Pedro Gutiérrez,,
16,Dolado,https://www.linkedin.com/company/compredolado/?ref=getlatka.com,//dolado.com.br/?ref=getlatka.com, (BR),Josmar Giovanni,,
17,Modio LLC,https://www.linkedin.com/company/theplot.io?ref=getlatka.com,//theplot.io/?ref=getlatka.com, (US),Adrian Thompson,,
18,instarel,https://www.linkedin.com/company/instantlyrelevant/?ref=getlatka.com,//instarel.ai/?ref=getlatka.com, (US),Thomas Helfrich,,
19,Alphadoc,,//alphadoc.io/?ref=getlatka.com,United States,Daan Stolk,,
