,name,Company linkedIn,Company facebook,Company Twitter,website url,company location,company founder,Company Crunchbase
0,Wing Assistant,https://linkedin.com/company/wingassistant?ref=getlatka.com,https://facebook.com/wingassistant?ref=getlatka.com,https://twitter.com/wingassistant?ref=getlatka.com,//wingassistant.com/?ref=getlatka.com, (US),Roland Polzin,
1,Railsware,https://www.linkedin.com/company/railsware/?ref=getlatka.com,https://www.facebook.com/railsware?ref=getlatka.com,https://twitter.com/railsware?ref=getlatka.com,//railsware.com/?ref=getlatka.com,Poland,Yaroslav Lazor,https://www.crunchbase.com/organization/railsware?ref=getlatka.com
2,WP Engine,https://www.linkedin.com/company/wpengine/?ref=getlatka.com,https://www.facebook.com/wpengine/?ref=getlatka.com,https://twitter.com/wpengine?ref=getlatka.com,//wpengine.com/?ref=getlatka.com, (US),Jason Cohen,https://www.crunchbase.com/organization/wp-engine?ref=getlatka.com
3,Reveleer,https://www.linkedin.com/company/reveleer/?ref=getlatka.com,,,//reveleer.com/?ref=getlatka.com, (US),,https://www.crunchbase.com/organization/reveleer?ref=getlatka.com
4,m3ter,https://www.linkedin.com/company/m3ter/?ref=getlatka.com,,,//m3ter.com/?ref=getlatka.com, (GB),Griff Parry,https://www.crunchbase.com/organization/m3ter?ref=getlatka.com
5,Whippy,https://www.linkedin.com/company/whippyai?ref=getlatka.com,,,//whippy.ai/?ref=getlatka.com, (US),David Daneshgar,
6,Fundkite,https://www.linkedin.com/company/fundkite?ref=getlatka.com,,,//fundkite.com/?ref=getlatka.com, (US),Alex Shvarts,
7,Zapier,https://www.linkedin.com/company/zapier?ref=getlatka.com,https://www.facebook.com/ZapierApp?ref=getlatka.com,https://twitter.com/zapier?ref=getlatka.com,//zapier.com/?ref=getlatka.com, (US),Wade Foster,https://www.crunchbase.com/organization/zapier?ref=getlatka.com
8,GreenPal,https://www.linkedin.com/company/greenpal?ref=getlatka.com,https://www.facebook.com/pages/GreenPal/495779490484818?ref=getlatka.com,https://twitter.com/YourGreenPal?ref=getlatka.com,//yourgreenpal.com/?ref=getlatka.com, (US),Bryan Clayton,https://www.crunchbase.com/organization/greenpal?ref=getlatka.com
9,Bennudata,https://www.linkedin.com/company/bennudata/?ref=getlatka.com,,,//bennudata.com/?ref=getlatka.com, (US),Pavel Danilov,
10,RevOS,https://www.linkedin.com/company/revos-ai/?ref=getlatka.com,https://www.facebook.com/RevenueOperationSystem?ref=getlatka.com,,//revos.ai/?ref=getlatka.com,Germany,Renat Zubayrov,
11,Mattermore,https://www.linkedin.com/company/mattermoreai?ref=getlatka.com,,,//www.mattermore.ai/?ref=getlatka.com, (US),Matt Shenker,
12,Dashcomb Inc,https://www.linkedin.com/company/dashcomb-inc/?ref=getlatka.com,https://www.facebook.com/dashcomb/?ref=getlatka.com,https://twitter.com/dashcomb_inc?ref=getlatka.com,//dashcomb.com/?ref=getlatka.com,Japan,Tonny Xu,
13,Streamline Software,https://www.linkedin.com/company/streamline-gov/?ref=getlatka.com,https://www.facebook.com/streamlinegov/?ref=getlatka.com,https://twitter.com/StreamlineGov?ref=getlatka.com,//getstreamline.com/?ref=getlatka.com,United States,Rachel Stern,
14,IVA,https://www.linkedin.com/company/iva-ai/?ref=getlatka.com,,,//getiva.ai/?ref=getlatka.com,Estonia,Valdis Sprogis,
15,Naehas,https://www.linkedin.com/company/naehas?ref=getlatka.com,,https://twitter.com/NaehasInc?ref=getlatka.com,//naehas.com/?ref=getlatka.com, (US),Menka Singh,https://www.crunchbase.com/organization/naehas?ref=getlatka.com
16,Produx AI,https://www.linkedin.com/company/produxai/?ref=getlatka.com,,,//produx.ai/?ref=getlatka.com,United States,Tony Tom,
17,MarkMe LLC,https://www.linkedin.com/company/markme-icons/?ref=getlatka.com,https://www.facebook.com/markmeicons?ref=getlatka.com,https://twitter.com/markmeicons?ref=getlatka.com,//markmeicons.com/?ref=getlatka.com,Kenya,Toni Mumo,
18,Softbrik,https://www.linkedin.com/company/softbrikplatform/?ref=getlatka.com,,,//softbrik.com/?ref=getlatka.com,Luxembourg,Rom C.,
19,Code42,https://www.linkedin.com/company/code-42-software-inc?ref=getlatka.com,,,//code42.com/?ref=getlatka.com, (US),Joe Payne,https://www.crunchbase.com/organization/code-42-software?ref=getlatka.com
