,name,Company linkedIn,Company Twitter,Company Crunchbase,website url,company location,company founder,Company facebook
0,Human Proof Designs,https://www.linkedin.com/company/human-proof-designs?ref=getlatka.com,https://twitter.com/Human_Proof?ref=getlatka.com,https://www.crunchbase.com/organization/human-proof-designs?ref=getlatka.com,//humanproofdesigns.com/?ref=getlatka.com, (US),Bryon Brewer,
1,Sendlane,https://www.linkedin.com/company/sendlane?ref=getlatka.com,,https://www.crunchbase.com/organization/sendlane-com?ref=getlatka.com,//sendlane.com/?ref=getlatka.com, (US),Jimmy Kim,
2,Plusthis,https://www.linkedin.com/company/plusthis?ref=getlatka.com,,https://www.crunchbase.com/organization/plusthis?ref=getlatka.com,//plusthis.com/?ref=getlatka.com, (US),Dave Lee,
3,Onfleet,https://www.linkedin.com/company/onfleet?ref=getlatka.com,https://twitter.com/onfleet?ref=getlatka.com,https://www.crunchbase.com/organization/onfleet?ref=getlatka.com,//onfleet.com/?ref=getlatka.com, (US),Khaled Naim,https://www.facebook.com/onfleetapp?ref=getlatka.com
4,Starred,https://www.linkedin.com/company/starred?ref=getlatka.com,,https://www.crunchbase.com/organization/starred?ref=getlatka.com,//starred.com/?ref=getlatka.com,Netherlands,Daniel Birkholm,
5,Mywifi Networks,https://www.linkedin.com/company/mywifi-networks?ref=getlatka.com,,https://www.crunchbase.com/organization/mywifi-networks?ref=getlatka.com,//mywifinetworks.com/?ref=getlatka.com, (CA),Kevin Zicherman,
6,Veed,https://www.linkedin.com/company/veedhq?ref=getlatka.com,https://twitter.com/veedstudio?ref=getlatka.com,,//veed.io/?ref=getlatka.com, (GB),Luciana Lixandru,https://www.facebook.com/veedHQ/?ref=getlatka.com
7,Fhoster,https://www.linkedin.com/company/fhoster?ref=getlatka.com,,https://www.crunchbase.com/organization/fhoster?ref=getlatka.com,//fhoster.com/?ref=getlatka.com,Italy,Antonio Leonforte,
8,Wemby,https://www.linkedin.com/company/wemby?ref=getlatka.com,,https://www.crunchbase.com/organization/wembley-studios?ref=getlatka.com,//wemby.co/?ref=getlatka.com,Spain,Alberto Fantappie,
9,Movable Ink,https://www.linkedin.com/company/838774/?ref=getlatka.com,,,//movableink.com/?ref=getlatka.com, (US),Vivek Khan,
10,Employ Inc,,,https://www.crunchbase.com/organization/theresumator?ref=getlatka.com,//jazzhr.com/?ref=getlatka.com, (US),Pete Lamson,
11,Xfusion,https://www.linkedin.com/company/xfusion-technologies?ref=getlatka.com,,,//xfusion.io/?ref=getlatka.com, (US),David Tran,
12,Stockalarm,https://www.linkedin.com/company/stock-alarm?ref=getlatka.com,,,//stockalarm.io/?ref=getlatka.com,United States,Yahia Bakour,
13,Pqina,https://www.linkedin.com/company/pqina?ref=getlatka.com,,,//pqina.nl/?ref=getlatka.com,Netherlands,Rik Schennink,
14,Almabase,https://www.linkedin.com/company/almabase?ref=getlatka.com,,https://www.crunchbase.com/organization/almabase?ref=getlatka.com,//almabase.com/?ref=getlatka.com, (US),Kalyan  Varma,
15,Feedsauce,https://www.linkedin.com/company/feedsauce?ref=getlatka.com,,,//feedsauce.com/?ref=getlatka.com, (GB),Omar Choudhry,
16,Img,https://www.linkedin.com/company/img.ly?ref=getlatka.com,,https://www.crunchbase.com/organization/img-ly?ref=getlatka.com,//img.ly/?ref=getlatka.com,Germany,Eray  Basar,
17,Trustisto,https://ph.linkedin.com/company/trustisto?ref=getlatka.com,,,//trustisto.com/?ref=getlatka.com,Poland,Wojciech Grześkowiak,
18,Fairmeadow,https://www.linkedin.com/company/fairmeadows-ltd?ref=getlatka.com,,,//fairmeadow.app/?ref=getlatka.com, (US),Miriam Quintana,
19,Koalarank,https://www.linkedin.com/company/koalarank?ref=getlatka.com,,,//koalarank.com/?ref=getlatka.com, (US),Arrigo Lupori,
