,name,Company linkedIn,Company Twitter,website url,company location,company founder,Company Crunchbase,Company facebook
0,InboxDone.com,https://www.linkedin.com/company/inboxdone?ref=getlatka.com,https://twitter.com/?ref=getlatka.com,//inboxdone.com/?ref=getlatka.com,United States,Yaro Starak,,
1,Hackerearth,https://www.linkedin.com/company/hackerearth?ref=getlatka.com,,//hackerearth.com/?ref=getlatka.com, (US),Sachin Gupta,https://www.crunchbase.com/organization/hackerearth?ref=getlatka.com,
2,Usebraintrust,https://www.linkedin.com/company/usebraintrust/?ref=getlatka.com,https://x.com/usebraintrust?ref=getlatka.com,//usebraintrust.com/?ref=getlatka.com, (US),Sarah B.,https://www.crunchbase.com/organization/braintrust-bac9?ref=getlatka.com,
3,Jiga3D,https://il.linkedin.com/company/jiga3d?ref=getlatka.com,,//jiga3d.com/?ref=getlatka.com,Israel,Yonatan Wolowelsky,,
4,Ironmansoftware,https://www.linkedin.com/company/ironman-software-llc?ref=getlatka.com,,//ironmansoftware.com/?ref=getlatka.com, (US),Adam Driscoll,,
5,Obie (acquired by Seismic),https://www.linkedin.com/company/askobie?ref=getlatka.com,,//obie.ai/?ref=getlatka.com, (CA),Chris Buttenham,https://www.crunchbase.com/organization/tasytt?ref=getlatka.com,
6,Thesnapbar,https://www.linkedin.com/company/the-snapbar?ref=getlatka.com,,//thesnapbar.com/?ref=getlatka.com, (US),Sam Eitzen,https://www.crunchbase.com/organization/the-snapbar?ref=getlatka.com,
7,Superlemon,https://www.linkedin.com/company/super-lemon/?ref=getlatka.com,,//superlemon.xyz/?ref=getlatka.com, (IN),Preetam Nath,,
8,Nighteye,https://www.linkedin.com/company/night-eye-dark-mode-extension/?ref=getlatka.com,,//nighteye.app/?ref=getlatka.com,Bulgaria,Stanislav Dimitrov,,
9,Visably,https://www.linkedin.com/company/visably-seo?ref=getlatka.com,,//visably.com/?ref=getlatka.com, (US),Chris Dickey,https://www.crunchbase.com/organization/visably?ref=getlatka.com,
10,Nocsdegree,https://www.linkedin.com/company/no-cs-degree/?ref=getlatka.com,https://twitter.com/nocsdegree?ref=getlatka.com,//nocsdegree.com/?ref=getlatka.com, (GB),Pete MacleodCodes,,
11,Ceptinel,https://www.linkedin.com/company/ceptinel?ref=getlatka.com,,//ceptinel.com/?ref=getlatka.com,Chile,Miguel Fuentes Buchholtz,https://www.crunchbase.com/organization/ceptinel?ref=getlatka.com,
12,Vidlive,,,//vidlive.co/?ref=getlatka.com, (US),Shawn North,,
13,Profitbooks,https://www.linkedin.com/company/profitbooks?ref=getlatka.com,,//profitbooks.net/?ref=getlatka.com, (IN),Harshal Katre,https://www.crunchbase.com/organization/profitbooks-net?ref=getlatka.com,
14,Artivatic,https://www.linkedin.com/company/artivatic?ref=getlatka.com,https://twitter.com/artivatic?ref=getlatka.com,//artivatic.ai/?ref=getlatka.com, (IN),Layak Singh,https://www.crunchbase.com/organization/artivatic-data-labs?ref=getlatka.com,https://www.facebook.com/artivatic?ref=getlatka.com
15,Letsign,https://www.linkedin.com/company/letsign?ref=getlatka.com,,//letsign.org/?ref=getlatka.com, (IN),Bastin Robins .KRobin,,
16,Supportbee,https://www.linkedin.com/company/supportbee?ref=getlatka.com,,//supportbee.com/?ref=getlatka.com,Spain,Hana Mohan,https://www.crunchbase.com/organization/supportbee?ref=getlatka.com,
17,Hellotars,https://ca.linkedin.com/company/tars?ref=getlatka.com,,//hellotars.com/?ref=getlatka.com, (US),Ish Jindal,https://www.crunchbase.com/organization/hellotars?ref=getlatka.com,
18,Karmabot,https://www.linkedin.com/company/karmabot?ref=getlatka.com,,//karmabot.chat/?ref=getlatka.com,New Zealand,Stas Kulesh,https://www.crunchbase.com/organization/karma-3143?ref=getlatka.com,
19,Wingmantracker,,,//wingmantracker.com/?ref=getlatka.com, (US),Ben Latz,,
