,name,Company linkedIn,website url,company location,company founder,Company Twitter,Company Crunchbase,Company facebook
0,Prentus,https://www.linkedin.com/company/prentus?ref=getlatka.com,//prentus.co/?ref=getlatka.com, (US),Rod Danan,,,
1,Botsify,https://x.com/botsify_app?ref=getlatka.com,//botsify.com/?ref=getlatka.com,Pakistan,Usama Noman,https://x.com/botsify_app?ref=getlatka.com,https://www.crunchbase.com/organization/botsify?ref=getlatka.com,
2,Checkly,https://www.linkedin.com/company/checkly?ref=getlatka.com,//checklyhq.com/?ref=getlatka.com, (US),Tim Nolet,https://twitter.com/checklyHQ?ref=getlatka.com,,
3,Amio,https://www.linkedin.com/company/amio.io?ref=getlatka.com,//amio.io/?ref=getlatka.com,Czech Republic,Matous Kucera,,https://www.crunchbase.com/organization/amio?ref=getlatka.com,
4,Edusign,https://www.linkedin.com/company/edusign/?ref=getlatka.com,//edusign.com/?ref=getlatka.com,France,Dylan Teixeira,https://twitter.com/Edusignfr?ref=getlatka.com,https://www.crunchbase.com/organization/edusign?ref=getlatka.com,https://www.facebook.com/edusignfr?ref=getlatka.com
5,Wavve,https://www.linkedin.com/company/wavve-co?ref=getlatka.com,//wavve.co/?ref=getlatka.com,United States,Baird Hall,,https://www.crunchbase.com/organization/wavve-inc?ref=getlatka.com,
6,Closet Tools,https://www.linkedin.com/company/closetllc?ref=getlatka.com,//closet.tools/?ref=getlatka.com,Egypt,Jordan O'Connor,,,
7,PhoneWagon,https://www.linkedin.com/company/phonewagon?ref=getlatka.com,//phonewagon.com/?ref=getlatka.com, (US),Ryan Shank,,https://www.crunchbase.com/organization/phonewagon?ref=getlatka.com,
8,Djaodjin,https://www.linkedin.com/company/djaodjin?ref=getlatka.com,//djaodjin.com/?ref=getlatka.com, (US),Sebastien Mirolo,,,
9,Widgetic,https://www.linkedin.com/company/widgetic?ref=getlatka.com,//widgetic.com/?ref=getlatka.com,Spain,Andu Potorac,,https://www.crunchbase.com/organization/widgetic?ref=getlatka.com,
10,Shuvel,https://www.linkedin.com/company/shuvel?ref=getlatka.com,//param-solutions.com/?ref=getlatka.com, (AU),Anil Kasibhatla,,,
11,Buttondown,https://www.linkedin.com/company/buttondown/?ref=getlatka.com,//buttondown.email/?ref=getlatka.com, (US),Justin Duke,,https://www.crunchbase.com/organization/button?ref=getlatka.com,
12,Pushpress,https://www.linkedin.com/company/pushpress/?ref=getlatka.com,//pushpress.com/?ref=getlatka.com, (US),Dan Uyemura,,https://www.crunchbase.com/organization/pushpress?ref=getlatka.com,
13,Directual,https://www.linkedin.com/company/directual?ref=getlatka.com,//directual.com/?ref=getlatka.com,Russia,Pavel Ershov,,https://www.crunchbase.com/organization/directual?ref=getlatka.com,
14,Monetizemore,https://www.linkedin.com/company/monetizemore?ref=getlatka.com,//monetizemore.com/?ref=getlatka.com, (CA),Kean Graham,,https://www.crunchbase.com/organization/monetizemore?ref=getlatka.com,
15,Revenuecat,https://www.linkedin.com/company/revenuecat?ref=getlatka.com,//revenuecat.com/?ref=getlatka.com, (US),Jacob  Eiting,https://twitter.com/revenuecat?ref=getlatka.com,https://www.crunchbase.com/organization/revenuecat?ref=getlatka.com,https://www.facebook.com/RevenueCat/?ref=getlatka.com
16,Hireclub,https://www.linkedin.com/company/the_real_hireclub?ref=getlatka.com,//hireclub.com/?ref=getlatka.com, (US),Ketan Anjaria,,https://www.crunchbase.com/organization/hireclub?ref=getlatka.com,
17,Getvero,https://ca.linkedin.com/company/upearance-marketing-solutions?ref=getlatka.com,//getvero.com/?ref=getlatka.com,Canada,Chris Hexton,,https://www.crunchbase.com/organization/getvero?ref=getlatka.com,
18,Referralrock,https://www.linkedin.com/company/referral-rock/?ref=getlatka.com,//referralrock.com/?ref=getlatka.com, (US),Josh Ho,,https://www.crunchbase.com/organization/referralrock?ref=getlatka.com,
19,Webhookrelay,https://www.linkedin.com/company/webhook-relay?ref=getlatka.com,//webhookrelay.com/?ref=getlatka.com, (GB),Karolis Rusenas,,,
