,name,Company linkedIn,Company facebook,website url,company location,company founder,Company Twitter,Company Crunchbase
0,UserPeek,https://www.linkedin.com/company/userpeek/?ref=getlatka.com,https://web.facebook.com/userpeekcom/?_rdc=1&_rdr=&ref=getlatka.com,//userpeek.com/?ref=getlatka.com, (US),Tina Banerjee,,
1,Discovry,https://www.linkedin.com/company/discovry-ltd?ref=getlatka.com,,//discovry.co.uk/?ref=getlatka.com, (GB),Luke Kellett,,
2,Prism.fm,https://www.linkedin.com/company/prism-fm?ref=getlatka.com,,//prism.fm/?ref=getlatka.com, (US),Matt Ford,https://twitter.com/prismfm?ref=getlatka.com,https://www.crunchbase.com/organization/prism.fm?ref=getlatka.com
3,Revolution Design,https://www.linkedin.com/company/wearerevolutiondesign?ref=getlatka.com,,//revolution.design/?ref=getlatka.com,Slovakia,Kerim Al-Lami,,
4,myHQ,https://www.linkedin.com/company/myhqspace?ref=getlatka.com,,//myhq.in/?ref=getlatka.com,India,Utkarsh Kawatra,,
5,Magnettu,https://www.linkedin.com/company/magnettu/?ref=getlatka.com,,//magnettu.com/?ref=getlatka.com,Spain,Rafael Calle,,
6,Summaraize,https://www.linkedin.com/company/summaraize?ref=getlatka.com,,//summaraize.com/?ref=getlatka.com, (US),Jay Desai,,https://www.crunchbase.com/organization/summaraize?ref=getlatka.com
7,Troove,https://www.linkedin.com/company/trooveme/?ref=getlatka.com,,//troove.me/?ref=getlatka.com, (US),David Hurwitt,,
8,involve.ai,,,//involve.ai/?ref=getlatka.com, (US),Gaurav Bhattacharya,https://twitter.com/involve_ai?ref=getlatka.com,https://www.crunchbase.com/organization/involveai?ref=getlatka.com
9,Monite,https://www.linkedin.com/company/monitehq?ref=getlatka.com,,//monite.com/?ref=getlatka.com,Germany,Ivan Maryasin,,
10,Verifiet,https://www.linkedin.com/company/verifiet?ref=getlatka.com,,//verifiet.com/?ref=getlatka.com, (US),Farhan Afsahi,,
11,Jugl,,,//jugl.com/?ref=getlatka.com, (US),Arun Kumar,,
12,Shipit,,,//shipit.cl/?ref=getlatka.com,Chile,Allan Guiloff,,https://www.crunchbase.com/organization/shipit?ref=getlatka.com
13,Shipyard App,https://www.linkedin.com/company/shipyard/?ref=getlatka.com,,//shipyardapp.com/?ref=getlatka.com, (US),Blake Burch,,https://www.crunchbase.com/organization/shipyard?ref=getlatka.com
14,DevHeads,,,//developerheads.com/?ref=getlatka.com, (US),Fortuna Kadima,https://twitter.com/developerheads?ref=getlatka.com,
15,Smith.ai,https://www.linkedin.com/company/smith-ai?ref=getlatka.com,,//smith.ai/?ref=getlatka.com, (US),Aaron Lee,https://twitter.com/smithdotai?ref=getlatka.com,https://www.crunchbase.com/organization/smith-ai?ref=getlatka.com
16,Factor Technology,,,//factor.technology/?ref=getlatka.com, (US),Hugh Winkler,,https://www.crunchbase.com/organization/factor-technology?ref=getlatka.com
17,Reviewia,,,//reviewia.co/?ref=getlatka.com,India,Arijit Bose,,
18,Knowd,https://www.linkedin.com/company/knowd/?ref=getlatka.com,,//knowd.ai/?ref=getlatka.com, (CA),Justin Shum,,
19,Material Retail,,,//materialretail.com/?ref=getlatka.com, (US),Elliot Djmal,,
