,name,Company linkedIn,website url,company location,company founder,Company Crunchbase,Company Twitter
0,Carbide Security,https://www.linkedin.com/company/carbidesecure/?originalSubdomain=ca&ref=getlatka.com,//carbidesecure.com/?ref=getlatka.com, (CA),Darren Gallop,,
1,Lalamu App,,//lalamu.app/?ref=getlatka.com,Austria,Matthias Spitzer,,
2,Hirize,https://www.linkedin.com/company/hirize/?ref=getlatka.com,//hirize.hr/?ref=getlatka.com, (US),Esra Kaygin,https://www.crunchbase.com/organization/hirize?ref=getlatka.com,
3,Teamera,https://www.linkedin.com/company/teamera/?ref=getlatka.com,//teamera.co/?ref=getlatka.com, (US),Rae Hames,,
4,Airtory,https://www.linkedin.com/company/airtory/?ref=getlatka.com,//airtory.com/?ref=getlatka.com, (US),Julian Frachtman,https://www.crunchbase.com/organization/airtory?ref=getlatka.com,
5,WeSoar,https://www.linkedin.com/company/wesoar/?ref=getlatka.com,//wesoar.ai/?ref=getlatka.com, (GB),Nisheeth Pathak,,
6,Demandjump,https://www.linkedin.com/company/demandjump?ref=getlatka.com,//demandjump.com/?ref=getlatka.com, (US),Christopher Day,https://www.crunchbase.com/organization/demandjump?ref=getlatka.com,
7,PriceOps,,//priceops.net/?ref=getlatka.com,India,Nikhil Kotcharlakota,,
8,ANT USA Inc,https://www.linkedin.com/company/ant-usa-inc?ref=getlatka.com,//antusa.com/?ref=getlatka.com, (US),Dmitry Goykhman,,
9,Nife labs,https://www.linkedin.com/company/nifeio/mycompany/?ref=getlatka.com,//nife.io/?ref=getlatka.com,Singapore,Nida Sahar,,
10,Hounder,https://www.linkedin.com/company/hounder?ref=getlatka.com,//hounder.co/?ref=getlatka.com, (US),Joshua Northcott,https://www.crunchbase.com/organization/hounder?ref=getlatka.com,
11,Salesbolt,https://linkedin.com/company/salesbolt?ref=getlatka.com,//salesbolt.com/?ref=getlatka.com, (US),Craig Maxwell,,
12,Manageable,https://www.linkedin.com/company/getmanageable?ref=getlatka.com,//getmanageable.com/?ref=getlatka.com, (US),Steve Petersheim,https://www.crunchbase.com/organization/manageable?ref=getlatka.com,http://x.com/manageableteam?ref=getlatka.com
13,data.world,https://www.linkedin.com/company/data.world/?ref=getlatka.com,//data.world/?ref=getlatka.com, (US),Tim Gasper,https://www.crunchbase.com/organization/data-world?ref=getlatka.com,https://twitter.com/datadotworld?ref=getlatka.com
14,Careerist,https://www.linkedin.com/company/71814474/?ref=getlatka.com,//careerist.com/?ref=getlatka.com, (US),Max Gusakov,,
15,Krome Image Labs,https://www.linkedin.com/company/krome-image-labs?ref=getlatka.com,//kromeimagelabs.com/?ref=getlatka.com, (US),Eduardo Llach,https://www.crunchbase.com/organization/krome-image-labs?ref=getlatka.com,
16,Doxci,https://www.linkedin.com/company/doxci/?ref=getlatka.com,//doxci.ai/?ref=getlatka.com, (US),Austin Ambrozi,,
17,Qtr,https://www.linkedin.com/company/qtr/?ref=getlatka.com,//qtr.ai/?ref=getlatka.com, (US),Swami Venkataramani,,
18,Elly Analytics,https://www.linkedin.com/company/elly-analytics/?ref=getlatka.com,//ellyanalytics.com/?ref=getlatka.com, (US),Seva Ustinov,,
19,SafetyWing,https://www.linkedin.com/company/safetywing?ref=getlatka.com,//safetywing.com/?ref=getlatka.com, (US),Libby van Beuren,,
