,name,Company linkedIn,Company Crunchbase,website url,company location,company founder
0,Slidepresenter,https://www.linkedin.com/company/slidepresenter?ref=getlatka.com,https://www.crunchbase.com/organization/slidepresenter?ref=getlatka.com,//slidepresenter.com/?ref=getlatka.com,Germany,Sebastian Walker
1,Mywalletcard,https://www.linkedin.com/company/walletcard-inc?ref=getlatka.com,https://www.crunchbase.com/organization/mywalletcard?ref=getlatka.com,//mywalletcard.com/?ref=getlatka.com, (US),Michael Prince
2,Analyticsintelligence,https://in.linkedin.com/company/virtual-analyst?ref=getlatka.com,https://www.crunchbase.com/organization/analyticsintelligence?ref=getlatka.com,//analyticsintelligence.com/?ref=getlatka.com, (GB),David Edoja
3,Artudata,https://in.linkedin.com/company/artudata?ref=getlatka.com,https://www.crunchbase.com/organization/artudata?ref=getlatka.com,//artudata.com/?ref=getlatka.com,France,Tal Zohar
4,Deephire,https://www.linkedin.com/company/deephire?ref=getlatka.com,https://www.crunchbase.com/organization/deephire?ref=getlatka.com,//deephire.com/?ref=getlatka.com, (US),Steven Gates
5,Streamdata,https://www.linkedin.com/company/streamdata-io?ref=getlatka.com,https://www.crunchbase.com/organization/streamdata?ref=getlatka.com,//streamdata.io/?ref=getlatka.com,United States,Eric Horesnyi
6,Fluidui,https://www.linkedin.com/company/fluid-software?ref=getlatka.com,https://www.crunchbase.com/organization/fluidui?ref=getlatka.com,//fluidui.com/?ref=getlatka.com,Ireland,Ian  Hannigan
7,Askhr,https://in.linkedin.com/company/ask-hr-solutions?ref=getlatka.com,https://www.crunchbase.com/organization/askhr?ref=getlatka.com,//askhr.com/?ref=getlatka.com, (US),James Sturges
8,Aisleplanner,https://www.linkedin.com/company/aisle-planner-inc-?ref=getlatka.com,https://www.crunchbase.com/organization/aisle-planner?ref=getlatka.com,//aisleplanner.com/?ref=getlatka.com, (US),Rob Farrow
9,Plobal Apps,https://www.linkedin.com/company/9192400?ref=getlatka.com,,//plobalapps.com/?ref=getlatka.com, (CA),Atul Poharker
10,Rheaply,https://www.linkedin.com/company/rheaply-inc.?ref=getlatka.com,https://www.crunchbase.com/organization/rheaply?ref=getlatka.com,//rheaply.com/?ref=getlatka.com, (US),Garry Cooper
11,Plutio,https://www.linkedin.com/company/plutio?ref=getlatka.com,https://www.crunchbase.com/organization/plutio-3?ref=getlatka.com,//plutio.com/?ref=getlatka.com,United States,Leo Bassam
12,iAdvize,https://www.linkedin.com/company/iadvize/?ref=getlatka.com,https://www.crunchbase.com/organization/iadvize?ref=getlatka.com,//iadvize.com/?ref=getlatka.com,France,Julien Hervouet
13,Phorest,https://www.linkedin.com/company/phorest?ref=getlatka.com,https://www.crunchbase.com/organization/phorest?ref=getlatka.com,//phorest.com/?ref=getlatka.com,Ireland,Sylvie Mc Dermott
14,Ivvy,https://www.linkedin.com/company/ivvy-pty-ltd?ref=getlatka.com,https://www.crunchbase.com/organization/ivvy?ref=getlatka.com,//ivvy.com/?ref=getlatka.com, (AU),Lauren Hall
15,Dar.Win,https://in.linkedin.com/company/dar.win?ref=getlatka.com,https://www.crunchbase.com/organization/dar.win?ref=getlatka.com,//dar.win/?ref=getlatka.com, (US),Frank Mcdermott
16,Socialoptic,https://www.linkedin.com/company/socialoptic?ref=getlatka.com,https://www.crunchbase.com/organization/socialoptic?ref=getlatka.com,//socialoptic.com/?ref=getlatka.com, (GB),Benjamin Ellis
17,Switch,https://www.linkedin.com/company/switch.cm?ref=getlatka.com,https://www.crunchbase.com/organization/switch?ref=getlatka.com,//switch.cm/?ref=getlatka.com,Singapore,Bruna San
18,Scapic,https://ca.linkedin.com/company/scapic?ref=getlatka.com,https://www.crunchbase.com/organization/scapic?ref=getlatka.com,//scapic.com/?ref=getlatka.com, (US),Sai Krishna
19,Idronect,https://www.linkedin.com/company/idronect?ref=getlatka.com,https://www.crunchbase.com/organization/idronect?ref=getlatka.com,//idronect.com/?ref=getlatka.com,Belgium,Tom Verbruggen
