,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company facebook,Company Twitter
0,Oitchau,https://www.linkedin.com/company/oitchau?ref=getlatka.com,https://www.crunchbase.com/organization/oitchau?ref=getlatka.com,//oitchau.com/?ref=getlatka.com, (BR),Lonny Szneiberg,,
1,Inventaprint,https://www.linkedin.com/company/partsimony/?ref=getlatka.com,https://www.crunchbase.com/organization/partsimony/?ref=getlatka.com,//inventaprint.com/?ref=getlatka.com, (US),Rich Mokuolu,,
2,Clipr,https://www.linkedin.com/company/cliprco?ref=getlatka.com,https://www.crunchbase.com/organization/clipr?ref=getlatka.com,//clipr.co/?ref=getlatka.com,France,Nathaniel Suissa,,
3,Keeper Security,https://www.linkedin.com/company/keeper-security-inc-?ref=getlatka.com,https://www.crunchbase.com/organization/keeper-security?ref=getlatka.com,//keepersecurity.com/?ref=getlatka.com, (US),Darren Guccione,,
4,Veamly,https://www.linkedin.com/company/veamly?ref=getlatka.com,https://www.crunchbase.com/organization/veamly?ref=getlatka.com,//flowfinitee.com/?ref=getlatka.com, (US),Emna Ghariani,,
5,Teambuildr,https://www.linkedin.com/company/teambuildr-llc?ref=getlatka.com,https://www.crunchbase.com/organization/teambuildr?ref=getlatka.com,//teambuildr.com/?ref=getlatka.com, (US),Hewitt Tomlin,,
6,Checkli,https://www.linkedin.com/company/checkli?ref=getlatka.com,https://www.crunchbase.com/organization/checkli?ref=getlatka.com,//checkli.com/?ref=getlatka.com, (US),Marvin Russell,,
7,Stitchedinsights,https://www.linkedin.com/company/stitchedinsights/?ref=getlatka.com,https://www.crunchbase.com/organization/stitchedinsights?ref=getlatka.com,//stitchedinsights.com/?ref=getlatka.com, (US),Dmitriy Pavlov,,
8,Jellyvision,https://www.linkedin.com/company/jellyvision?ref=getlatka.com,https://www.crunchbase.com/organization/jellyvision?ref=getlatka.com,//jellyvision.com/?ref=getlatka.com, (US),Brynn Michelich,https://www.facebook.com/JellyvisionLab/?ref=getlatka.com,https://twitter.com/jellyvision?ref=getlatka.com
9,Leadfeeder,https://www.linkedin.com/company/leadfeeder?ref=getlatka.com,https://www.crunchbase.com/organization/leadfeeder?ref=getlatka.com,//leadfeeder.com/?ref=getlatka.com,Finland,Pekka Koskinen,https://facebook.com/Leadfeeder?ref=getlatka.com,https://twitter.com/leadfeeder?ref=getlatka.com
10,Drchrono,https://www.linkedin.com/company/drchrono?ref=getlatka.com,https://www.crunchbase.com/organization/drchrono?ref=getlatka.com,//drchrono.com/?ref=getlatka.com, (US),Patrick Bollinger,,
11,Guesty,https://www.linkedin.com/company/guesty?ref=getlatka.com,https://www.crunchbase.com/organization/guesty?ref=getlatka.com,//guesty.com/?ref=getlatka.com,United States,Amiad Soto,https://www.facebook.com/guestycom/?ref=getlatka.com,https://twitter.com/guesty?ref=getlatka.com
12,DBSync,https://www.linkedin.com/company/2023044/?ref=getlatka.com,,//mydbsync.com/?ref=getlatka.com, (US),Rajeev Gupta,,
13,Evvnt,https://www.linkedin.com/company/evvnt/?ref=getlatka.com,https://www.crunchbase.com/organization/evvnt?ref=getlatka.com,//evvnt.com/?ref=getlatka.com, (US),Richard Green,,
14,Mparticle,https://www.linkedin.com/company/mparticle-inc-?ref=getlatka.com,https://www.crunchbase.com/organization/mparticle?ref=getlatka.com,//mparticle.com/?ref=getlatka.com, (US),Michael Katz,https://www.facebook.com/mParticle?ref=getlatka.com,https://twitter.com/mParticle?ref=getlatka.com
15,Printingforless,https://www.linkedin.com/company/printing-for-less-com/?ref=getlatka.com,https://www.crunchbase.com/organization/printingforless?ref=getlatka.com,//printingforless.com/?ref=getlatka.com, (US),Andrew Field,,
16,Sentisis,https://www.linkedin.com/company/sentisis?ref=getlatka.com,https://www.crunchbase.com/organization/sentisis?ref=getlatka.com,//sentisis.com/?ref=getlatka.com, (ES),Jorge Penalva,,
17,Adspert,https://www.linkedin.com/company/adspert-bidmanagement-gmbh/?ref=getlatka.com,https://www.crunchbase.com/organization/adspert?ref=getlatka.com,//adspert.net/?ref=getlatka.com,Germany,Stephanie Richter,,
18,Theroishop,https://www.linkedin.com/company/the-roi-shop?ref=getlatka.com,https://www.crunchbase.com/organization/theroishop?ref=getlatka.com,//theroishop.com/?ref=getlatka.com, (US),Michael Farber,,
19,Shedwool,https://www.linkedin.com/company/shedwool-llc?ref=getlatka.com,https://www.crunchbase.com/organization/shedwool?ref=getlatka.com,//shedwool.com/?ref=getlatka.com, (US),Cory Warfield,,
