,name,Company linkedIn,Company facebook,Company Twitter,Company Crunchbase,website url,company location,company founder
0,Expandi,https://www.linkedin.com/company/expandifamily/?ref=getlatka.com,https://www.facebook.com/expandi.io/?ref=getlatka.com,https://twitter.com/expandi_io?ref=getlatka.com,https://www.crunchbase.com/organization/expandi-io?ref=getlatka.com,//expandi.io/?ref=getlatka.com,Netherlands,Stefan Smulders
1,Simplero,https://www.linkedin.com/company/simplero?ref=getlatka.com,,,https://www.crunchbase.com/organization/simplero?ref=getlatka.com,//simplero.com/?ref=getlatka.com, (US),Calvin Correli
2,Skyhive,https://www.linkedin.com/company/skyhive/?ref=getlatka.com,,,,//skyhive.ai/?ref=getlatka.com, (US),Sean Hinton
3,Dealpad,https://www.linkedin.com/company/dealpad-io/?ref=getlatka.com,,,https://www.crunchbase.com/organization/dealpad-ad5c?ref=getlatka.com,//dealpad.io/?ref=getlatka.com, (GB),Adam Baker
4,Backblaze,https://www.linkedin.com/company/backblaze?ref=getlatka.com,https://www.facebook.com/backblaze?ref=getlatka.com,http://twitter.com/backblaze?ref=getlatka.com,https://www.crunchbase.com/organization/backblaze?ref=getlatka.com,//backblaze.com/?ref=getlatka.com, (US),Gleb Budman
5,Surfer,https://www.linkedin.com/company/surfer?ref=getlatka.com,https://www.facebook.com/surferseo/?ref=getlatka.com,,https://www.crunchbase.com/organization/surfer-9260?ref=getlatka.com,//surferseo.com/?ref=getlatka.com,Poland,Michał Suski
6,Cleeng,https://www.linkedin.com/company/cleeng?ref=getlatka.com,,,https://www.crunchbase.com/organization/cleeng?ref=getlatka.com,//cleeng.com/?ref=getlatka.com,Netherlands,Joris Boon
7,Tally Forms,https://www.linkedin.com/company/tallyforms?ref=getlatka.com,https://www.facebook.com/TallyForms/?ref=getlatka.com,https://twitter.com/TallyForms?ref=getlatka.com,,//tally.so/?ref=getlatka.com,Belgium,Marie Martens
8,Cledara,https://www.linkedin.com/company/cledara/?ref=getlatka.com,,https://twitter.com/Cledara?ref=getlatka.com,https://www.crunchbase.com/organization/cledara?ref=getlatka.com,//cledara.com/?ref=getlatka.com, (US),Cristina Vila
9,Ebsta,https://www.linkedin.com/company/ebsta?ref=getlatka.com,,,https://www.crunchbase.com/organization/ebsta?ref=getlatka.com,//ebsta.com/?ref=getlatka.com,United Kingdom,Guy Rubin
10,DPOrganizer,https://www.linkedin.com/company/dporganizer?ref=getlatka.com,,,https://www.crunchbase.com/organization/dporganizer?ref=getlatka.com,//dporganizer.com/?ref=getlatka.com,Sweden,Alicia Hatt
11,Everyware,https://www.linkedin.com/company/everyware?ref=getlatka.com,https://www.facebook.com/everywareapp/?ref=getlatka.com,https://twitter.com/EverywareApp?ref=getlatka.com,https://www.crunchbase.com/organization/b-everyware?ref=getlatka.com,//everyware.com/?ref=getlatka.com, (US),Austin Talley
12,Distro,https://www.linkedin.com/company/distroio/?ref=getlatka.com,,,,//distro.io/?ref=getlatka.com, (US),Chad Ingram
13,FE International,https://www.linkedin.com/company/feinternational/?ref=getlatka.com,,,https://www.crunchbase.com/organization/fe-international?ref=getlatka.com,//feinternational.com/?ref=getlatka.com, (US),Thomas Smale
14,N. Rich,https://www.linkedin.com/company/ndotrich/?ref=getlatka.com,,,https://www.crunchbase.com/organization/natify-inc?ref=getlatka.com,//n.rich/?ref=getlatka.com,Finland,Markus Stahlberg
15,Netcore Cloud,https://www.linkedin.com/company/netcore-solutions/?ref=getlatka.com,,,,//netcorecloud.com/?ref=getlatka.com, (IN),Rajesh Jain
16,Cumul.io,https://www.linkedin.com/company/cumul-io/?ref=getlatka.com,,,https://www.crunchbase.com/organization/cumul-io?ref=getlatka.com,//cumul.io/?ref=getlatka.com, (US),Thomas De Clerck
17,Regroup,,,,,//regroup.io/?ref=getlatka.com,Switzerland,Joe DiPasquale
18,Vendr,https://www.linkedin.com/company/vendr-services/?ref=getlatka.com,https://www.facebook.com/savewithvendr/?ref=getlatka.com,https://twitter.com/vendrhq?ref=getlatka.com,https://www.crunchbase.com/organization/vendr?ref=getlatka.com,//vendr.com/?ref=getlatka.com, (US),Ryan Neu
19,SecurityScorecard,https://www.linkedin.com/company/security-scorecard?ref=getlatka.com,,,https://www.crunchbase.com/organization/security-scorecard?ref=getlatka.com,//securityscorecard.com/?ref=getlatka.com, (US),Aleksandr Yampolskiy
