,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company Twitter,Company facebook
0,Monitask.com,https://www.linkedin.com/company/monitask.com?ref=getlatka.com,https://www.crunchbase.com/organization/monitask?ref=getlatka.com,//monitask.com/?ref=getlatka.com,United States,Thomas Simon,,
1,Creams,https://www.linkedin.com/company/%E6%9D%AD%E5%B7%9E%E5%8C%A0%E4%BA%BA%E7%BD%91%E7%BB%9C%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/?ref=getlatka.com,https://www.crunchbase.com/organization/creams?ref=getlatka.com,//creams.io/?ref=getlatka.com,China,Ming Xiang,,
2,Undock,,,//undock.com/?ref=getlatka.com, (US),Nash Ahmed,https://x.com/undockhq?ref=getlatka.com,
3,renrunkeji.com,https://www.linkedin.com/company/%E6%9D%AD%E5%B7%9E%E4%BB%81%E6%B6%A6%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/?ref=getlatka.com,https://www.crunchbase.com/organization/renrunkeji-com?ref=getlatka.com,//renrunkeji.com/?ref=getlatka.com,China,Wu Jian,,
4,HomeGauge,https://www.linkedin.com/company/homegauge?ref=getlatka.com,https://www.crunchbase.com/organization/homegauge?ref=getlatka.com,//homegauge.com/?ref=getlatka.com,United States,Paul Mcintyre,,
5,CultureHQ,https://www.linkedin.com/company/culturehq?ref=getlatka.com,https://www.crunchbase.com/organization/culturehq?ref=getlatka.com,//culturehq.com/?ref=getlatka.com, (US),Brian Vigeant,,
6,SaaS Growth Tactics Database,https://au.linkedin.com/company/growthcollectively?ref=getlatka.com,,//getscrapbook.com/?ref=getlatka.com, (US),Kacper Staniul,https://twitter.com/?ref=getlatka.com,
7,Hoodin,https://www.linkedin.com/company/hoodin?ref=getlatka.com,https://www.crunchbase.com/organization/hoodin?ref=getlatka.com,//hoodin.com/?ref=getlatka.com,Sweden,Marcus Emne,,
8,Woopra,https://www.linkedin.com/company/woopra-inc-?ref=getlatka.com,https://www.crunchbase.com/organization/woopra?ref=getlatka.com,//woopra.com/?ref=getlatka.com, (US),Elie Khoury,https://twitter.com/Woopra?ref=getlatka.com,https://www.facebook.com/woopra?ref=getlatka.com
9,RestaurantZone,https://www.linkedin.com/company/therestaurantzone?ref=getlatka.com,https://www.crunchbase.com/organization/the-restaurant-zone?ref=getlatka.com,//therestaurantzone.com/?ref=getlatka.com, (US),Matthew Rodgers,,
10,PartyLifter,https://www.linkedin.com/company/partylifter?ref=getlatka.com,https://www.crunchbase.com/organization/partylifter?ref=getlatka.com,//partylifter.com/?ref=getlatka.com, (US),Moin Shamsi,,
11,Rainwalk Technology,https://www.linkedin.com/company/rainwalk/?ref=getlatka.com,https://www.crunchbase.com/organization/rainwalk-technology?ref=getlatka.com,//rainwalk.io/?ref=getlatka.com, (US),Tong Wu,,
12,Brainworks Software Development,https://www.linkedin.com/company/brainworks-software/?ref=getlatka.com,,//brainworks.com/?ref=getlatka.com, (US),Phil Petzold,,
13,PixLab,https://www.linkedin.com/company/pixlabio?ref=getlatka.com,https://www.crunchbase.com/organization/pixlab?ref=getlatka.com,//pixlab.io/?ref=getlatka.com,United States,,,
14,JRapid,https://www.linkedin.com/company/jrapid-corp.?ref=getlatka.com,https://www.crunchbase.com/organization/jrapid?ref=getlatka.com,//jrapid.com/?ref=getlatka.com,United States,,,
15,AptAmigo,https://www.linkedin.com/company/aptamigo?ref=getlatka.com,https://www.crunchbase.com/organization/aptamigo?ref=getlatka.com,//aptamigo.com/?ref=getlatka.com, (US),Daniel Willenborg,https://twitter.com/?ref=getlatka.com,
16,Continuent,https://www.linkedin.com/company/continuent?ref=getlatka.com,https://www.crunchbase.com/organization/continuent?ref=getlatka.com,//continuent.com/?ref=getlatka.com,United States,Eero Teerikorpi,,
17,eventcloud,https://www.linkedin.com/company/eventcloud?ref=getlatka.com,https://www.crunchbase.com/organization/eventcloud?ref=getlatka.com,//eventcloud.co/?ref=getlatka.com, (GB),Stephan Botha,,
18,"Spacenet, Inc.",https://www.linkedin.com/company/spacenet-llc/about/?ref=getlatka.com,,//spacenet.com/?ref=getlatka.com,United States,Daryl Woodard,,
19,Global Learning Systems,https://www.linkedin.com/company/global-learning-systems?ref=getlatka.com,https://www.crunchbase.com/organization/keystone-learning-systems?ref=getlatka.com,//globallearningsystems.com/?ref=getlatka.com,United States,Larry Cates,https://twitter.com/GLSCompliance?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor&ref=getlatka.com,https://www.facebook.com/GlobalLearningSystems/?ref=getlatka.com
