movie name,movie index,movie url,rating,year,movie hours,movie vote
The Shawshank Redemption,1,/title/tt0111161/?ref_=chttp_i_1,9.3,1994,2h 22m,3.1M
The Godfather,2,/title/tt0068646/?ref_=chttp_i_2,9.2,1972,2h 55m,2.2M
The Dark Knight,3,/title/tt0468569/?ref_=chttp_i_3,9.1,2008,2h 32m,3.1M
The Godfather Part II,4,/title/tt0071562/?ref_=chttp_i_4,9.0,1974,3h 22m,1.5M
12 Angry Men,5,/title/tt0050083/?ref_=chttp_i_5,9.0,1957,1h 36m,955K
The Lord of the Rings: The Return of the King,6,/title/tt0167260/?ref_=chttp_i_6,9.0,2003,3h 21m,2.1M
Schindler's List,7,/title/tt0108052/?ref_=chttp_i_7,9.0,1993,3h 15m,1.6M
The Lord of the Rings: The Fellowship of the Ring,8,/title/tt0120737/?ref_=chttp_i_8,8.9,2001,2h 58m,2.2M
Pulp Fiction,9,/title/tt0110912/?ref_=chttp_i_9,8.8,1994,2h 34m,2.4M
"Il buono, il brutto, il cattivo",10,/title/tt0060196/?ref_=chttp_i_10,8.8,1966,2h 41m,872K
The Lord of the Rings: The Two Towers,11,/title/tt0167261/?ref_=chttp_i_11,8.8,2002,2h 59m,1.9M
Forrest Gump,12,/title/tt0109830/?ref_=chttp_i_12,8.8,1994,2h 22m,2.4M
Fight Club,13,/title/tt0137523/?ref_=chttp_i_13,8.8,1999,2h 19m,2.5M
Inception,14,/title/tt1375666/?ref_=chttp_i_14,8.8,2010,2h 28m,2.7M
Star Wars: Episode V - The Empire Strikes Back,15,/title/tt0080684/?ref_=chttp_i_15,8.7,1980,2h 4m,1.5M
The Matrix,16,/title/tt0133093/?ref_=chttp_i_16,8.7,1999,2h 16m,2.2M
GoodFellas,17,/title/tt0099685/?ref_=chttp_i_17,8.7,1990,2h 25m,1.4M
Interstellar,18,/title/tt0816692/?ref_=chttp_i_18,8.7,2014,2h 49m,2.4M
One Flew Over the Cuckoo's Nest,19,/title/tt0073486/?ref_=chttp_i_19,8.6,1975,2h 13m,1.1M
Se7en,20,/title/tt0114369/?ref_=chttp_i_20,8.6,1995,2h 7m,2M
It's a Wonderful Life,21,/title/tt0038650/?ref_=chttp_i_21,8.6,1946,2h 10m,537K
The Silence of the Lambs,22,/title/tt0102926/?ref_=chttp_i_22,8.6,1991,1h 58m,1.7M
Shichinin no samurai,23,/title/tt0047478/?ref_=chttp_i_23,8.6,1954,3h 27m,392K
Saving Private Ryan,24,/title/tt0120815/?ref_=chttp_i_24,8.6,1998,2h 49m,1.6M
The Green Mile,25,/title/tt0120689/?ref_=chttp_i_25,8.6,1999,3h 9m,1.5M
The Green Mile,25,/title/tt0120689/?ref_=chttp_i_25,8.6,1999,3h 9m,1.5M
