name,year,wins,losses,ot-losses,pct text-success,gf,ga,diff text-success
Boston Bruins,1990,44,24,,0.55,299,264,35
Buffalo Sabres,1990,31,30,,0.388,292,278,35
Calgary Flames,1990,46,26,,0.575,344,263,35
Chicago Blackhawks,1990,49,23,,0.613,284,211,35
Detroit Red Wings,1990,34,38,,0.425,273,298,35
Edmonton Oilers,1990,37,37,,0.463,272,272,35
Hartford Whalers,1990,31,38,,0.388,238,276,35
Los Angeles Kings,1990,46,24,,0.575,340,254,35
Minnesota North Stars,1990,27,39,,0.338,256,266,35
Montreal Canadiens,1990,39,30,,0.487,273,249,35
New Jersey Devils,1990,32,33,,0.4,272,264,35
New York Islanders,1990,25,45,,0.312,223,290,35
New York Rangers,1990,36,31,,0.45,297,265,35
Philadelphia Flyers,1990,33,37,,0.412,252,267,35
Pittsburgh Penguins,1990,41,33,,0.512,342,305,35
Quebec Nordiques,1990,16,50,,0.2,236,354,35
St. Louis Blues,1990,47,22,,0.588,310,250,35
Toronto Maple Leafs,1990,23,46,,0.287,241,318,35
Vancouver Canucks,1990,28,43,,0.35,243,315,35
Washington Capitals,1990,37,36,,0.463,258,258,35
Winnipeg Jets,1990,26,43,,0.325,260,288,35
Boston Bruins,1991,36,32,,0.45,270,275,35
Buffalo Sabres,1991,31,37,,0.388,289,299,35
Calgary Flames,1991,31,37,,0.388,296,305,35
Chicago Blackhawks,1991,36,29,,0.45,257,236,35
