country name,capital,Population,area
Andorra,Andorra la Vella,84000,468.0
Antigua and Barbuda,St. John's,86754,443.0
Armenia,Yerevan,2968000,29800.0
Argentina,Buenos Aires,41343201,2766890.0
Australia,Canberra,21515754,7686850.0
Azerbaijan,Baku,8303512,86600.0
Bangladesh,Dhaka,156118464,144000.0
Bulgaria,Sofia,7148785,110910.0
Benin,Porto-Novo,9056010,112620.0
Brunei,Bandar Seri Begawan,395027,5770.0
Brazil,Brasília,201103330,8511965.0
Bouvet Island,None,0,49.0
Belize,Belmopan,314522,22966.0
Democratic Republic of the Congo,Kinshasa,70916439,2345410.0
Switzerland,Bern,7581000,41290.0
Chile,Santiago,16746491,756950.0
Colombia,Bogotá,47790000,1138910.0
Cape Verde,Praia,508659,4033.0
Cyprus,Nicosia,1102677,9250.0
Djibouti,Djibouti,740528,23000.0
Dominican Republic,Santo Domingo,9823821,48730.0
Estonia,Tallinn,1291170,45226.0
Eritrea,Asmara,5792984,121320.0
Finland,Helsinki,5244000,337030.0
Micronesia,Palikir,107708,702.0
Gabon,Libreville,1545255,267667.0
Georgia,Tbilisi,4630000,69700.0
Ghana,Accra,24339838,239460.0
Gambia,Bathurst,1593256,11300.0
Equatorial Guinea,Malabo,1014999,28051.0
Guatemala,Guatemala City,13550440,108890.0
Guyana,Georgetown,748486,214970.0
Honduras,Tegucigalpa,7989415,112090.0
Hungary,Budapest,9982000,93030.0
Israel,None,7353985,20770.0
British Indian Ocean Territory,None,4000,60.0
Iceland,Reykjavik,308910,103000.0
Jamaica,Kingston,2847232,10991.0
Kenya,Nairobi,40046566,582650.0
Kiribati,Tarawa,92533,811.0
North Korea,Pyongyang,22912177,120540.0
Cayman Islands,George Town,44270,262.0
Lebanon,Beirut,4125247,10400.0
Sri Lanka,Colombo,21513990,65610.0
Lithuania,Vilnius,2944459,65200.0
Libya,Tripoli,6461454,1759540.0
Moldova,Chişinău,4324000,33843.0
Madagascar,Antananarivo,21281844,587040.0
Mali,Bamako,13796354,1240000.0
Macao,Macao,449198,254.0
Mauritania,Nouakchott,3205060,1030700.0
Mauritius,Port Louis,1294104,2040.0
Mexico,Mexico City,112468855,1972550.0
Namibia,Windhoek,2128471,825418.0
Norfolk Island,Kingston,1828,34.6
Netherlands,Amsterdam,16645000,41526.0
Nauru,Yaren,10065,21.0
Oman,Muscat,2967717,212460.0
French Polynesia,Papeete,270485,4167.0
Pakistan,Islamabad,184404791,803940.0
Pitcairn Islands,Adamstown,46,47.0
Portugal,Lisbon,10676000,92391.0
Qatar,Doha,840926,11437.0
Serbia,Belgrade,7344847,88361.0
Saudi Arabia,Riyadh,25731776,1960582.0
Sudan,Khartoum,35000000,1861484.0
Saint Helena,Jamestown,7460,410.0
Slovakia,Bratislava,5455000,48845.0
Senegal,Dakar,12323252,196190.0
South Sudan,Juba,8260490,644329.0
Sint Maarten,Philipsburg,37429,21.0
Turks and Caicos Islands,Cockburn Town,20556,430.0
Togo,Lomé,6587239,56785.0
Tokelau,None,1466,10.0
Tunisia,Tunis,10589025,163610.0
Trinidad and Tobago,Port of Spain,1228691,5128.0
Tanzania,Dodoma,41892895,945087.0
U.S. Minor Outlying Islands,None,0,0.0
Uzbekistan,Tashkent,27865738,447400.0
Venezuela,Caracas,27223228,912050.0
Vietnam,Hanoi,89571130,329560.0
Samoa,Apia,192001,2944.0
Mayotte,Mamoudzou,159042,374.0
Zimbabwe,Harare,11651858,390580.0
