product_name,product_index,product_price,product_url,img_url,rating
In Her Wake,,Â£12.84,in-her-wake_980/index.html,../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,
How Music Works,,Â£37.32,how-music-works_979/index.html,../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,
Foolproof Preserving: A Guide ...,,Â£30.52,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,
Chase Me (Paris Nights ...,,Â£25.27,chase-me-paris-nights-2_977/index.html,../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,
Black Dust,,Â£34.53,black-dust_976/index.html,../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,
Birdsong: A Story in ...,,Â£54.64,birdsong-a-story-in-pictures_975/index.html,../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,
America's Cradle of Quarterbacks: ...,,Â£22.50,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,
Aladdin and His Wonderful ...,,Â£53.13,aladdin-and-his-wonderful-lamp_973/index.html,../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,
Worlds Elsewhere: Journeys Around ...,,Â£40.30,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,
Wall and Piece,,Â£44.18,wall-and-piece_971/index.html,../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,
The Four Agreements: A ...,,Â£17.66,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,
The Five Love Languages: ...,,Â£31.05,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,../media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,
The Elephant Tree,,Â£23.82,the-elephant-tree_968/index.html,../media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,
The Bear and the ...,,Â£36.89,the-bear-and-the-piano_967/index.html,../media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,
Sophie's World,,Â£15.94,sophies-world_966/index.html,../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,
Penny Maybe,,Â£33.29,penny-maybe_965/index.html,../media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg,
Maude (1883-1993):She Grew Up ...,,Â£18.02,maude-1883-1993she-grew-up-with-the-country_964/index.html,../media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg,
"In a Dark, Dark ...",,Â£19.63,in-a-dark-dark-wood_963/index.html,../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,
Behind Closed Doors,,Â£52.22,behind-closed-doors_962/index.html,../media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg,
You can't bury them ...,,Â£33.63,you-cant-bury-them-all-poems_961/index.html,../media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,
