product_name,product_link,product_img,product_price,product_details,product_reviews_number,product_reviews_star_number
Asus VivoBook...,/test-sites/e-commerce/allinone/product/60,/images/test-sites/e-commerce/items/cart2.png,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",14 reviews,
Aspire E1-510,/test-sites/e-commerce/allinone/product/32,/images/test-sites/e-commerce/items/cart2.png,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",2 reviews,
Hewlett Packar...,/test-sites/e-commerce/allinone/product/65,/images/test-sites/e-commerce/items/cart2.png,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",12 reviews,
Acer Aspire ES...,/test-sites/e-commerce/allinone/product/68,/images/test-sites/e-commerce/items/cart2.png,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",9 reviews,
Asus VivoBook...,/test-sites/e-commerce/allinone/product/45,/images/test-sites/e-commerce/items/cart2.png,$399,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",4 reviews,
Acer Aspire 3...,/test-sites/e-commerce/allinone/product/73,/images/test-sites/e-commerce/items/cart2.png,$408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews,
Asus VivoBook...,/test-sites/e-commerce/allinone/product/76,/images/test-sites/e-commerce/items/cart2.png,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4 reviews,
Acer Aspire 3...,/test-sites/e-commerce/allinone/product/78,/images/test-sites/e-commerce/items/cart2.png,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",1 reviews,
Acer Aspire ES...,/test-sites/e-commerce/allinone/product/81,/images/test-sites/e-commerce/items/cart2.png,$454.62,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",9 reviews,
Lenovo V110-15...,/test-sites/e-commerce/allinone/product/84,/images/test-sites/e-commerce/items/cart2.png,$465.95,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",7 reviews,
Lenovo V510 Bl...,/test-sites/e-commerce/allinone/product/87,/images/test-sites/e-commerce/items/cart2.png,$484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",8 reviews,
Acer Swift 1 S...,/test-sites/e-commerce/allinone/product/90,/images/test-sites/e-commerce/items/cart2.png,$488.64,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",4 reviews,
Dell Vostro 15...,/test-sites/e-commerce/allinone/product/92,/images/test-sites/e-commerce/items/cart2.png,$497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",9 reviews,
Acer Spin 5,/test-sites/e-commerce/allinone/product/47,/images/test-sites/e-commerce/items/cart2.png,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",0 reviews,
Pavilion,/test-sites/e-commerce/allinone/product/38,/images/test-sites/e-commerce/items/cart2.png,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",4 reviews,
Asus VivoBook...,/test-sites/e-commerce/allinone/product/50,/images/test-sites/e-commerce/items/cart2.png,$729,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",2 reviews,
Asus ROG STRIX...,/test-sites/e-commerce/allinone/product/51,/images/test-sites/e-commerce/items/cart2.png,$799,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",7 reviews,
Lenovo ThinkPa...,/test-sites/e-commerce/allinone/product/54,/images/test-sites/e-commerce/items/cart2.png,$999,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",11 reviews,
Dell Inspiron...,/test-sites/e-commerce/allinone/product/95,/images/test-sites/e-commerce/items/cart2.png,$1098.42,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",7 reviews,
Asus ROG Strix...,/test-sites/e-commerce/allinone/product/98,/images/test-sites/e-commerce/items/cart2.png,$1101.83,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",4 reviews,
Lenovo Legion...,/test-sites/e-commerce/allinone/product/101,/images/test-sites/e-commerce/items/cart2.png,$1112.91,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",1 reviews,
Acer Aspire 7...,/test-sites/e-commerce/allinone/product/104,/images/test-sites/e-commerce/items/cart2.png,$1123.87,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",4 reviews,
Lenovo Legion...,/test-sites/e-commerce/allinone/product/107,/images/test-sites/e-commerce/items/cart2.png,$1133.91,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",13 reviews,
Dell Latitude...,/test-sites/e-commerce/allinone/product/110,/images/test-sites/e-commerce/items/cart2.png,$1143.4,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",5 reviews,
Lenovo Legion...,/test-sites/e-commerce/allinone/product/55,/images/test-sites/e-commerce/items/cart2.png,$1149,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",11 reviews,
Toshiba Porteg...,/test-sites/e-commerce/allinone/product/115,/images/test-sites/e-commerce/items/cart2.png,$1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",7 reviews,
ThinkPad T540p,/test-sites/e-commerce/allinone/product/33,/images/test-sites/e-commerce/items/cart2.png,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",2 reviews,
Acer Predator...,/test-sites/e-commerce/allinone/product/120,/images/test-sites/e-commerce/items/cart2.png,$1187.98,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",14 reviews,
Lenovo Yoga 91...,/test-sites/e-commerce/allinone/product/123,/images/test-sites/e-commerce/items/cart2.png,$1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",7 reviews,
Acer Predator...,/test-sites/e-commerce/allinone/product/126,/images/test-sites/e-commerce/items/cart2.png,$1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",9 reviews,
Dell Latitude...,/test-sites/e-commerce/allinone/product/128,/images/test-sites/e-commerce/items/cart2.png,$1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",0 reviews,
Asus ROG Strix...,/test-sites/e-commerce/allinone/product/130,/images/test-sites/e-commerce/items/cart2.png,$1259,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",7 reviews,
Hewlett Packar...,/test-sites/e-commerce/allinone/product/133,/images/test-sites/e-commerce/items/cart2.png,$1273.11,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",8 reviews,
MSI GL62VR 7RF...,/test-sites/e-commerce/allinone/product/135,/images/test-sites/e-commerce/items/cart2.png,$1299,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",1 reviews,
Hewlett Packar...,/test-sites/e-commerce/allinone/product/137,/images/test-sites/e-commerce/items/cart2.png,$1326.83,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",2 reviews,
Dell Latitude...,/test-sites/e-commerce/allinone/product/140,/images/test-sites/e-commerce/items/cart2.png,$1338.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",11 reviews,
Lenovo ThinkPa...,/test-sites/e-commerce/allinone/product/143,/images/test-sites/e-commerce/items/cart2.png,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",5 reviews,
Asus ASUSPRO B...,/test-sites/e-commerce/allinone/product/146,/images/test-sites/e-commerce/items/cart2.png,$1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",4 reviews,
Asus ROG Strix...,/test-sites/e-commerce/allinone/product/57,/images/test-sites/e-commerce/items/cart2.png,$1769,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",7 reviews,
