main_link,company_name,company_official_website,company_fb,company_x,company_crunchbase,company_linkedin,company_founder,company_location,industry,company_logo,youtube
/companies/nue.io,Mark  Walker,http://www.linkedin.com/company/nue-io?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://youtu.be/gAsfzyXO2xU?ref=getlatka.com
/companies/briq.com,Ron Goldshmidt,https://www.linkedin.com/company/briqhq/?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://www.youtube.com/watch?v=ur3aXnC3zY4&ref=getlatka.com
/companies/arcads.ai,,https://www.linkedin.com/company/arcads-ai/?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://www.youtube.com/watch?v=01zJQhxwMco&ref=getlatka.com
/companies/betterpic,,//betterpic.io/?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://www.youtube.com/watch?v=mvu4dD4Trqk&ref=getlatka.com
/companies/submagic.co,David  Zitoun,https://www.linkedin.com/company/submagic?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://www.youtube.com/watch?v=lB6-TBpOuAA&t=487s&ref=getlatka.com
/companies/zapmail,Alan D'Souza,https://www.linkedin.com/company/zapmail-ai/?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://youtu.be/kkW4cRsWHOs?ref=getlatka.com
/companies/marsxdev,John Rush,https://www.linkedin.com/company/marsx?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://www.youtube.com/watch?v=TlE_CJMnP6c&ref=getlatka.com
/companies/calai.app,Jake Castillo,https://www.linkedin.com/company/cal-ai-app/?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://www.youtube.com/watch?v=x_hP76-nXFw&ref=getlatka.com
/companies/capacity,David Karandish,https://www.linkedin.com/company/teamcapacity?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://www.youtube.com/watch?v=7qyHaF4ob2g&ref=getlatka.com
/companies/tripledart,Shiyam Sunder,https://www.linkedin.com/company/tripledart-digital/about/?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://www.youtube.com/watch?v=F47kgAYu-CQ&ref=getlatka.com
/companies/voxpopme,Andrew Barraclough,https://www.linkedin.com/company/voxpopme?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://youtu.be/F3OwIFh7UaA?ref=getlatka.com
/companies/pendo,Todd Olson,https://www.linkedin.com/company/pendo-io/?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://youtu.be/yLX9ROKLaR0?ref=getlatka.com
/companies/issuu,,https://www.linkedin.com/company/issuu/?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://youtu.be/8acFNIJWLDY?ref=getlatka.com
/companies/ninetyio,Tim Weerasiri,https://www.linkedin.com/company/ninety-io?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://www.youtube.com/watch?v=i0bLbuI7kcw&ref=getlatka.com
/companies/reveleer,,https://www.linkedin.com/company/reveleer/?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://www.youtube.com/watch?v=HKzW7OWy2Jc&ref=getlatka.com
/companies/proposify,Kyle Racki,https://www.linkedin.com/company/proposify/?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://youtu.be/AHrSk5u7az0?ref=getlatka.com
/companies/brightedge,Jim Yu,https://www.linkedin.com/company/brightedge?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://www.youtube.com/watch?v=zMVdgNveNCA&ref=getlatka.com
/companies/celigo,Jan Arendtsz,https://www.linkedin.com/company/celigo-inc?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://youtu.be/WPp43acP5zM?ref=getlatka.com
/companies/netcore-cloud,Rajesh Jain,https://www.linkedin.com/company/netcore-cloud/?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://www.youtube.com/watch?v=RR5U00VDq5A&ref=getlatka.com
/companies/hootsuite,Irina Novoselsky,https://ca.linkedin.com/company/hootsuite?ref=getlatka.com,,,,,,,,https://storage.getlatka.com/icons/icon-link.svg,https://youtu.be/kEOHmwulkm0?ref=getlatka.com
