sub_header,data_point,url
Snakes,"Pythonidae, a family of nonvenomous snakes found in Africa, Asia, and AustraliaPython(genus), a genus of Pythonidae found in Africa and Asia",/wiki/Pythonidae
Snakes,"Python(genus), a genus of Pythonidae found in Africa and Asia",/wiki/Python_(genus)
Snakes,"Python (mythology), a mythical serpent",/wiki/Python_(mythology)
Computing,"Python (programming language), a widely used high-level programming language",/wiki/Python_(programming_language)
Computing,"Python, a native code compiler forCMU Common Lisp",/wiki/CMU_Common_Lisp
Computing,"Python, the internal project name for thePERQ 3computer workstation",/wiki/PERQ#PERQ_3
Media,"Python(film), a 2000 horror film by Richard Clabaugh",/wiki/Python_(film)
Media,"Monty Pythonor the Pythons, a British comedy groupPython (Monty) Pictures, a company owned by the troupe's surviving members",/wiki/Monty_Python
Media,"Python (Monty) Pictures, a company owned by the troupe's surviving members",/wiki/Python_(Monty)_Pictures
Media,"Python, a work written by philosopherTimon of Phlius",/wiki/Timon_of_Phlius
People,"Python of Aenus(4th-century BCE), student of Plato",/wiki/Python_of_Aenus
People,"Python (painter)(ca. 360–320 BCE), vase painter in Poseidonia",/wiki/Python_(painter)
People,"Python of Byzantium(4th-century BCE), orator, diplomat of Philip II of Macedon",/wiki/Python_of_Byzantium
People,"Python of Catana, poet who accompanied Alexander the Great",/wiki/Python_of_Catana
People,"Python Anghelo(1954–2014), Romanian graphic artist",/wiki/Python_Anghelo
Roller coasters,"Python (Efteling), a roller coaster in the Netherlands",/wiki/Python_(Efteling)
Roller coasters,"Python (Busch Gardens Tampa Bay), a defunct roller coaster",/wiki/Python_(Busch_Gardens_Tampa_Bay)
Roller coasters,"Python (Coney Island, Cincinnati, Ohio), a steel roller coaster","/wiki/Python_(Coney_Island,_Cincinnati,_Ohio)"
Vehicles,"Python (automobile maker), an Australian car company",/wiki/Python_(automobile_maker)
Vehicles,"Python (Ford prototype), a Ford prototype sports car",/wiki/Python_(Ford_prototype)
Weaponry and war,"Python (missile), a series of Israeli air-to-air missiles",/wiki/Python_(missile)
Weaponry and war,"Python (nuclear primary), a gas-boosted fission primary used in thermonuclear weapons",/wiki/Python_(nuclear_primary)
Weaponry and war,"Colt Python, a revolver",/wiki/Colt_Python
Weaponry and war,"Python (codename), a British nuclear war contingency plan",/wiki/Python_(codename)
Weaponry and war,"Operation Python, Indian naval operation during the Indo-Pakistani War of 1971",/wiki/Operation_Python
See also,All pages with titles beginning withPython,/wiki/Special:PrefixIndex/Python
See also,All pages with titles containingPython,/wiki/Special:Search/intitle:%22Python%22
See also,"Pithon, a commune in northern France",/wiki/Pithon
See also,"Pyton, a Norwegian magazine",/wiki/Pyton
