,name,Company linkedIn,website url,company location,company founder,Company Crunchbase,Company facebook,Company Twitter
0,HBox,https://www.linkedin.com/company/hboxai/?ref=getlatka.com,//hbox.ai/?ref=getlatka.com, (US),Banu Dhanakoti,,,
1,Austin Artificial Intelligence,https://www.linkedin.com/company/austin-artificial-intelligence-inc?ref=getlatka.com,//austinai.io/?ref=getlatka.com, (US),Robert Corwin,,,
2,Growth Era,https://www.linkedin.com/company/nextsales-io/?ref=getlatka.com,//growthera.com/?ref=getlatka.com, (US),Bryce  Kaspar,,,
3,YouMail,https://www.linkedin.com/company/youmail-inc/?ref=getlatka.com,//youmail.com/?ref=getlatka.com, (US),Alex Quilici,https://www.crunchbase.com/organization/youmail?ref=getlatka.com,,
4,carbonze,https://www.linkedin.com/company/carbonze?ref=getlatka.com,//carbonze.com/?ref=getlatka.com,Germany,Gokhan Gureser,,,
5,Yellow.ai,https://www.linkedin.com/company/yellowdotai?ref=getlatka.com,//yellow.ai/?ref=getlatka.com, (US),Raghu Ravinutala,https://www.crunchbase.com/organization/yellow-messenger?ref=getlatka.com,https://www.facebook.com/YellowDotAI/?ref=getlatka.com,https://twitter.com/yellowdotai?ref=getlatka.com
6,Leon,https://www.linkedin.com/company/myleon/?ref=getlatka.com,//leonvc.com/?ref=getlatka.com, (US),Bryan Smith,,,
7,Campus Tree,https://www.linkedin.com/company/campus-tree/?ref=getlatka.com,//campustree.live/?ref=getlatka.com, (US),Justin Arenson,,,
8,TABS Suite,https://www.linkedin.com/company/tabs-group/?ref=getlatka.com,//tabsscore.com/?ref=getlatka.com,Singapore,Unnat Bak,,,
9,Waldo Labs,https://www.linkedin.com/company/heywaldo/?ref=getlatka.com,//heywaldo.io/?ref=getlatka.com, (US),Taylor Berghane,,,
10,Fitbots,https://www.linkedin.com/company/14501050/admin/?ref=getlatka.com,//fitbots.com/?ref=getlatka.com,Singapore,Vidya Santhanam,,,
11,Flowster,https://www.linkedin.com/company/14433126/?ref=getlatka.com,//flowster.app/?ref=getlatka.com,United States,Trent Dyrsmid,https://www.crunchbase.com/organization/flowster?ref=getlatka.com,,
12,FormPiper,https://www.linkedin.com/company/form-piper/?ref=getlatka.com,//formpiper.com/?ref=getlatka.com, (US),Brad Parker,https://www.crunchbase.com/organization/form-piper?ref=getlatka.com,,
13,Software Pricing Partners,https://www.linkedin.com/company/software-pricing-partners?ref=getlatka.com,//softwarepricing.com/?ref=getlatka.com, (US),Chris Mele,https://www.crunchbase.com/organization/software-pricing-partners?ref=getlatka.com,,
14,Birdzi,https://www.linkedin.com/company/birdzi?ref=getlatka.com,//birdzi.com/?ref=getlatka.com, (US),Shekar Raman,https://www.crunchbase.com/organization/birdzi?ref=getlatka.com,,
15,WeCP,https://www.linkedin.com/company/wecreateproblems/?ref=getlatka.com,//wecreateproblems.com/?ref=getlatka.com, (US),Abhishek Kaushik,https://www.crunchbase.com/organization/we-create-problems?ref=getlatka.com,https://www.facebook.com/wecp.wecreateproblems?ref=getlatka.com,https://twitter.com/wcreateproblems?ref=getlatka.com
16,Redtrack,https://www.linkedin.com/company/redtrackio?ref=getlatka.com,//redtrack.io/?ref=getlatka.com,Lithuania,Vlad Zhovtenko,https://www.crunchbase.com/organization/redtrack?ref=getlatka.com,,
17,Evotix,https://www.linkedin.com/company/evotix?ref=getlatka.com,//evotix.com/?ref=getlatka.com, (US),Matthew Elson,https://www.crunchbase.com/organization/evotix?ref=getlatka.com,,
18,Pricing IO,https://www.linkedin.com/company/pricingio?ref=getlatka.com,//pricingio.com/?ref=getlatka.com, (US),Marcos Rivera,https://www.crunchbase.com/organization/pricing-i-o?ref=getlatka.com,,
19,Upsales,https://www.linkedin.com/company/upsales-nordic-ab/?ref=getlatka.com,//upsales.com/?ref=getlatka.com,Sweden,Daniel Wikberg,https://www.crunchbase.com/organization/upsales?ref=getlatka.com,,
