,name,Company linkedIn,website url,company location,company founder,Company Crunchbase,Company Twitter,Company facebook
0,Coro,https://www.linkedin.com/company/coronet?ref=getlatka.com,//coro.net/?ref=getlatka.com, (US),Dror Liwer,,,
1,JustiFi,https://www.linkedin.com/company/justifi-payments/?ref=getlatka.com,//justifi.ai/?ref=getlatka.com, (US),Joe Keeley,,,
2,Digital Seat Media,https://www.linkedin.com/company/digital-seat-media?ref=getlatka.com,//digitalseat.com/?ref=getlatka.com, (US),Cameron Fowler,,,
3,Subskryb,https://www.linkedin.com/company/subskryb/?ref=getlatka.com,//subskryb.com/?ref=getlatka.com, (CA),Giovanni Smith,,,
4,Inflectra,https://www.linkedin.com/company/inflectra-corporation?ref=getlatka.com,//inflectra.com/?ref=getlatka.com, (US),Adam Sandman,https://www.crunchbase.com/organization/inflectra?ref=getlatka.com,,
5,Mass Mobile Apps,https://www.linkedin.com/company/mass-mobile-inc/?viewAsMember=true&ref=getlatka.com,//massmobileapps.com/?ref=getlatka.com, (CA),Ali Ispahany,,,
6,Cal.com,https://www.linkedin.com/company/74475662?ref=getlatka.com,//cal.com/?ref=getlatka.com, (US),Bailey Pumfleet,https://www.crunchbase.com/organization/calendso?ref=getlatka.com,https://twitter.com/calcom?ref=getlatka.com,
7,DriveX,https://www.linkedin.com/company/drivextechnologies/?ref=getlatka.com,//drivex.io/?ref=getlatka.com,Estonia,Rauno Sigur,,,
8,HiverhqHiver,https://www.linkedin.com/company/hiverhq?ref=getlatka.com,//hiverhq.com/?ref=getlatka.com, (US),Vishal Chopra,https://www.crunchbase.com/organization/hiverhq?ref=getlatka.com,https://twitter.com/hiverhq?ref=getlatka.com,https://www.facebook.com/hiverhq?ref=getlatka.com
9,Gravity Sketch,https://www.linkedin.com/company/gravitysketch/?ref=getlatka.com,//gravitysketch.com/?ref=getlatka.com, (GB),Oluwaseyi Sosanya,https://www.crunchbase.com/organization/gravity-2?ref=getlatka.com,,
10,Selecteev,https://www.linkedin.com/company/18983988/admin/?ref=getlatka.com,//selecteev.io/?ref=getlatka.com,France,Alban Dumouilla,,,
11,Flexee,https://www.linkedin.com/company/flexee-money?ref=getlatka.com,//flexee.eu/?ref=getlatka.com,Poland,Andrzej Nowak,https://www.crunchbase.com/organization/flexee?ref=getlatka.com,,
12,Altogic,https://www.linkedin.com/company/altogic?ref=getlatka.com,//altogic.com/?ref=getlatka.com,Turkey,Ümit Çakmak,,,
13,Llama Life,https://www.linkedin.com/company/llama-life-co?ref=getlatka.com,//llamalife.co/?ref=getlatka.com,Australia,Marie Ng,https://www.crunchbase.com/organization/llama-life?ref=getlatka.com,,
14,Avify,https://www.linkedin.com/company/avify-co?ref=getlatka.com,//avify.com/?ref=getlatka.com,Mexico,Pedro Gutiérrez,,,
15,Dolado,https://www.linkedin.com/company/compredolado/?ref=getlatka.com,//dolado.com.br/?ref=getlatka.com, (BR),Josmar Giovanni,,,
16,Modio LLC,https://www.linkedin.com/company/theplot.io?ref=getlatka.com,//theplot.io/?ref=getlatka.com, (US),Adrian Thompson,,,
17,instarel,https://www.linkedin.com/company/instantlyrelevant/?ref=getlatka.com,//instarel.ai/?ref=getlatka.com, (US),Thomas Helfrich,,,
18,Alphadoc,,//alphadoc.io/?ref=getlatka.com,United States,Daan Stolk,,,
19,BlogVault Inc,https://www.linkedin.com/company/blogvault-inc./?ref=getlatka.com,//blogvault.net/?ref=getlatka.com, (IN),Akshat Choudhary,https://www.crunchbase.com/organization/blogvault?ref=getlatka.com,,
