,name,Company linkedIn,Company Twitter,Company Crunchbase,website url,company location,company founder,Company facebook
0,Plausible Analytics,https://www.linkedin.com/company/plausible-analytics/about/?ref=getlatka.com,https://twitter.com/plausiblehq?ref=getlatka.com,https://www.crunchbase.com/organization/plausible-labs-cooperative?ref=getlatka.com,//plausible.io/?ref=getlatka.com,Estonia,Marko Saric,
1,GrowSurf,http://linkedin.com/company/growsurf?ref=getlatka.com,,https://www.crunchbase.com/organization/growsurf?ref=getlatka.com,//growsurf.com/?ref=getlatka.com, (US),Kevin Yun,
2,Chime Social,,,,//chime.so/?ref=getlatka.com, (US),Spencer Jones,
3,Apptopia,https://www.linkedin.com/company/apptopia/?ref=getlatka.com,,,//apptopia.com/?ref=getlatka.com, (US),Jonathan Kay,
4,Ada,https://www.linkedin.com/company/ada-cx/?ref=getlatka.com,https://twitter.com/ada_cx/?ref=getlatka.com,https://www.crunchbase.com/organization/ada-support?ref=getlatka.com,//ada.cx/?ref=getlatka.com,Canada,Mike Murchison,https://www.facebook.com/getadasupport/?ref=getlatka.com
5,Realync,https://www.linkedin.com/company/realync-corp?ref=getlatka.com,,,//realync.com/?ref=getlatka.com,United States,Matt Weirich,
6,airgpu,https://www.linkedin.com/company/airgpu/?ref=getlatka.com,,,//airgpu.com/?ref=getlatka.com,Netherlands,Sven Frese,
7,Divvy,https://www.linkedin.com/company/divvypay/?ref=getlatka.com,https://twitter.com/Divvy_HQ?ref=getlatka.com,https://www.crunchbase.com/organization/divvy-7ad9?ref=getlatka.com,//getdivvy.com/?ref=getlatka.com, (US),Blake Murray,https://www.facebook.com/divvypay/?ref=getlatka.com
8,reporty.app,,,,//reporty.app/?ref=getlatka.com,United States,Leibel Hecht,
9,HoneyBook,https://www.linkedin.com/company/honeybook?ref=getlatka.com,,,//honeybook.com/?ref=getlatka.com, (US),Oz Alon,
10,Softr,https://www.linkedin.com/company/softr/?ref=getlatka.com,https://twitter.com/softr_io?ref=getlatka.com,https://www.crunchbase.com/organization/softr?ref=getlatka.com,//softr.io/?ref=getlatka.com,Germany,Mariam Hakobyan,https://www.facebook.com/profile.php?id=100063773313913&ref=getlatka.com
11,Copado,https://www.linkedin.com/company/copado-solutions-s.l?ref=getlatka.com,https://twitter.com/copadosolutions?ref=getlatka.com,https://www.crunchbase.com/organization/copado?ref=getlatka.com,//copado.com/?ref=getlatka.com, (US),Ted Elliott,https://www.facebook.com/CopadoSolutions/?ref=getlatka.com
12,One Shoe,https://www.linkedin.com/in/michelvanvelde?ref=getlatka.com,,,//oneshoe.nl/?ref=getlatka.com,Netherlands,,
13,MegaLeads,https://www.linkedin.com/company/mega-leads-llc/?ref=getlatka.com,,https://www.crunchbase.com/organization/mega-leads?ref=getlatka.com,//megaleads.com/?ref=getlatka.com, (US),Jim Alamia,
14,Reeview.app,https://www.linkedin.com/company/reeviewapp?ref=getlatka.com,,,//reeview.app/?ref=getlatka.com,Romania,Claudiu Cioba,
15,Qualifio,https://www.linkedin.com/company/qualifio?ref=getlatka.com,,https://www.crunchbase.com/organization/qualifio?ref=getlatka.com,//qualifio.com/?ref=getlatka.com,Belgium,Olivier Simonis,
16,UserZoom,https://ph.linkedin.com/company/userzoom?ref=getlatka.com,https://twitter.com/UserZoom?ref=getlatka.com,https://www.crunchbase.com/organization/userzoom?ref=getlatka.com,//userzoom.com/?ref=getlatka.com, (US),David  Murphy,https://www.facebook.com/userzoom/?ref=getlatka.com
17,Missive,https://www.linkedin.com/company/missive-app/?ref=getlatka.com,,https://www.crunchbase.com/organization/missive?ref=getlatka.com,//missiveapp.com/?ref=getlatka.com, (CA),Philippe Lehoux,
18,Acadium Inc,https://www.linkedin.com/company/acadiumofficial/mycompany/?ref=getlatka.com,,https://www.crunchbase.com/organization/acadium?ref=getlatka.com,//acadium.com/?ref=getlatka.com, (CA),Moe Abbas,
19,FunctionFox,https://www.linkedin.com/company/functionfox-systems?ref=getlatka.com,,https://www.crunchbase.com/organization/functionfox?ref=getlatka.com,//functionfox.com/?ref=getlatka.com, (CA),Corina Ludwig,
