,name,Company linkedIn,website url,company location,company founder,Company Twitter,Company Crunchbase,Company facebook
0,IVA,https://www.linkedin.com/company/iva-ai/?ref=getlatka.com,//getiva.ai/?ref=getlatka.com,Estonia,Valdis Sprogis,,,
1,Naehas,https://www.linkedin.com/company/naehas?ref=getlatka.com,//naehas.com/?ref=getlatka.com, (US),Menka Singh,https://twitter.com/NaehasInc?ref=getlatka.com,https://www.crunchbase.com/organization/naehas?ref=getlatka.com,
2,Produx AI,https://www.linkedin.com/company/produxai/?ref=getlatka.com,//produx.ai/?ref=getlatka.com,United States,Tony Tom,,,
3,MarkMe LLC,https://www.linkedin.com/company/markme-icons/?ref=getlatka.com,//markmeicons.com/?ref=getlatka.com,Kenya,Toni Mumo,https://twitter.com/markmeicons?ref=getlatka.com,,https://www.facebook.com/markmeicons?ref=getlatka.com
4,Softbrik AI,https://www.linkedin.com/company/softbrikplatform?ref=getlatka.com,//softbrik.com/?ref=getlatka.com,Luxembourg,Rom C.,,https://www.crunchbase.com/organization/softbrik?ref=getlatka.com,
5,Code42,https://www.linkedin.com/company/code-42-software-inc?ref=getlatka.com,//code42.com/?ref=getlatka.com, (US),Joe Payne,,https://www.crunchbase.com/organization/code-42-software?ref=getlatka.com,
6,Aptem,https://www.linkedin.com/company/aptem?ref=getlatka.com,//aptem.co.uk/?ref=getlatka.com, (GB),Richard Alberg,https://twitter.com/AptemSolutions?ref=getlatka.com,https://www.crunchbase.com/organization/mws-technology?ref=getlatka.com,
7,Meahana,https://www.linkedin.com/company/meahana?ref=getlatka.com,//meahana.io/?ref=getlatka.com, (US),Matthew Archer,,,
8,DASS Services,https://in.linkedin.com/company/dass-services?ref=getlatka.com,//dassanalytics.com/?ref=getlatka.com, (CA),Aaron Vidas,,,
9,Chaser ,https://www.linkedin.com/company/chaserapp/?ref=getlatka.com,//chaseforme.com/?ref=getlatka.com, (US),Josh Martow,,,
10,Loom,https://www.linkedin.com/company/useloom?ref=getlatka.com,//loom.com/?ref=getlatka.com, (US),Joe Thomas,https://twitter.com/loom?ref=getlatka.com,https://www.crunchbase.com/organization/loom?ref=getlatka.com,https://www.facebook.com/useloom/?ref=getlatka.com
11,Umwelt.AI,https://www.linkedin.com/company/umwelt/?ref=getlatka.com,//umwelt.ai/?ref=getlatka.com, (IN),Vishal Chopra,,https://www.crunchbase.com/organization/umwelt-peopletech-solutions-private-limited?ref=getlatka.com,
12,SARAL,https://www.linkedin.com/company/getsaral/?ref=getlatka.com,//getsaral.com/?ref=getlatka.com,India,Yash Chavan,,,
13,Vervotech,https://www.linkedin.com/company/vervotech/about/?ref=getlatka.com,//vervotech.com/?ref=getlatka.com, (IN),Sanjay Ghare,https://twitter.com/vervotech?ref=getlatka.com,https://www.crunchbase.com/organization/vervotech?ref=getlatka.com,
14,Qela App,https://www.linkedin.com/company/qela-app?ref=getlatka.com,//qela.app/?ref=getlatka.com,Ukraine,Tamara Tachynska,,,
15,Quash,https://www.linkedin.com/company/quash-bugs/?ref=getlatka.com,//quashbugs.com/?ref=getlatka.com, (IN),Ameer Hamza,,,
16,WordLift,https://www.linkedin.com/company/wordlift?ref=getlatka.com,//wordlift.io/?ref=getlatka.com,Italy,Andrea Volpini,,https://www.crunchbase.com/organization/wordlift?ref=getlatka.com,
17,Binderr,https://mt.linkedin.com/company/binderr?ref=getlatka.com,//binderr.com/?ref=getlatka.com,Malta,Jacob Appel,,,
18,SaaStock,https://www.linkedin.com/company/saastock/?ref=getlatka.com,//saastock.com/?ref=getlatka.com, (GB),Alex Theuma,https://twitter.com/SaaStock?ref=getlatka.com,https://www.crunchbase.com/organization/saastock?ref=getlatka.com,
19,Avestor,https://www.linkedin.com/company/avestor-inc/?ref=getlatka.com,//avestorinc.com/?ref=getlatka.com, (US),Badri Malynur,,,https://www.facebook.com/avestor?ref=getlatka.com
