,name,Company linkedIn,Company facebook,Company Twitter,Company Crunchbase,website url,company location,company founder
0,Onfleet,https://www.linkedin.com/company/onfleet?ref=getlatka.com,https://www.facebook.com/onfleetapp?ref=getlatka.com,https://twitter.com/onfleet?ref=getlatka.com,https://www.crunchbase.com/organization/onfleet?ref=getlatka.com,//onfleet.com/?ref=getlatka.com, (US),Khaled Naim
1,Starred,https://www.linkedin.com/company/starred?ref=getlatka.com,,,https://www.crunchbase.com/organization/starred?ref=getlatka.com,//starred.com/?ref=getlatka.com,Netherlands,Daniel Birkholm
2,Mywifi Networks,https://www.linkedin.com/company/mywifi-networks?ref=getlatka.com,,,https://www.crunchbase.com/organization/mywifi-networks?ref=getlatka.com,//mywifinetworks.com/?ref=getlatka.com, (CA),Kevin Zicherman
3,Veed,https://www.linkedin.com/company/veedhq?ref=getlatka.com,https://www.facebook.com/veedHQ/?ref=getlatka.com,https://twitter.com/veedstudio?ref=getlatka.com,,//veed.io/?ref=getlatka.com, (GB),Luciana Lixandru
4,Fhoster,https://www.linkedin.com/company/fhoster?ref=getlatka.com,,,https://www.crunchbase.com/organization/fhoster?ref=getlatka.com,//fhoster.com/?ref=getlatka.com,Italy,Antonio Leonforte
5,Wemby,https://www.linkedin.com/company/wemby?ref=getlatka.com,,,https://www.crunchbase.com/organization/wembley-studios?ref=getlatka.com,//wemby.co/?ref=getlatka.com,Spain,Alberto Fantappie
6,Movableink,https://ca.linkedin.com/company/movable-ink?ref=getlatka.com,,,https://www.crunchbase.com/organization/movableink?ref=getlatka.com,//movableink.com/?ref=getlatka.com, (US),Vivek Khan
7,AdGreetz,https://www.linkedin.com/company/adgreetz/?ref=getlatka.com,,,https://www.crunchbase.com/organization/stargreetz?ref=getlatka.com,//adgreetz.com/?ref=getlatka.com, (US),Eric Frankel
8,Xfusion,https://www.linkedin.com/company/xfusion-technologies?ref=getlatka.com,,,,//xfusion.io/?ref=getlatka.com, (US),David Tran
9,Stockalarm,https://www.linkedin.com/company/stock-alarm?ref=getlatka.com,,,,//stockalarm.io/?ref=getlatka.com,United States,Yahia Bakour
10,Pqina,https://www.linkedin.com/company/pqina?ref=getlatka.com,,,,//pqina.nl/?ref=getlatka.com,Netherlands,Rik Schennink
11,Almabase,https://www.linkedin.com/company/almabase?ref=getlatka.com,,,https://www.crunchbase.com/organization/almabase?ref=getlatka.com,//almabase.com/?ref=getlatka.com, (US),Kalyan  Varma
12,Feedsauce,https://www.linkedin.com/company/feedsauce?ref=getlatka.com,,,,//feedsauce.com/?ref=getlatka.com, (GB),Omar Choudhry
13,Img,https://www.linkedin.com/company/img.ly?ref=getlatka.com,,,https://www.crunchbase.com/organization/img-ly?ref=getlatka.com,//img.ly/?ref=getlatka.com,Germany,Eray  Basar
14,Trustisto,https://ph.linkedin.com/company/trustisto?ref=getlatka.com,,,,//trustisto.com/?ref=getlatka.com,Poland,Wojciech Grześkowiak
15,Fairmeadow,https://www.linkedin.com/company/fairmeadows-ltd?ref=getlatka.com,,,,//fairmeadow.app/?ref=getlatka.com, (US),Miriam Quintana
16,Koalarank,https://www.linkedin.com/company/koalarank?ref=getlatka.com,,,,//koalarank.com/?ref=getlatka.com, (US),Arrigo Lupori
17,InboxDone.com,https://www.linkedin.com/company/inboxdone?ref=getlatka.com,,https://twitter.com/?ref=getlatka.com,,//inboxdone.com/?ref=getlatka.com,United States,Yaro Starak
18,Kovai,https://www.linkedin.com/company/kovaico/?ref=getlatka.com,,,https://www.crunchbase.com/organization/kovai-co?ref=getlatka.com,//kovai.co/?ref=getlatka.com, (GB),Matthew Wise
19,Hackerearth,https://www.linkedin.com/company/hackerearth?ref=getlatka.com,,,https://www.crunchbase.com/organization/hackerearth?ref=getlatka.com,//hackerearth.com/?ref=getlatka.com, (US),Sachin Gupta
