,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company facebook,Company Twitter
0,Factmata,https://www.linkedin.com/company/factmata?ref=getlatka.com,https://www.crunchbase.com/organization/factmata?ref=getlatka.com,//factmata.com/?ref=getlatka.com,United Kingdom,Dhruv Ghulati,,
1,Blocknify,https://www.linkedin.com/company/blocknify?ref=getlatka.com,https://www.crunchbase.com/organization/blocknify?ref=getlatka.com,//blocknify.com/?ref=getlatka.com,Czech Republic,Chris Cowles,,
2,Vue,https://www.linkedin.com/company/vue-ai?ref=getlatka.com,https://www.crunchbase.com/organization/vue?ref=getlatka.com,//vue.ai/?ref=getlatka.com, (US),Ashwini Asokan,,
3,Gig Wage,https://www.linkedin.com/company/gigwage?ref=getlatka.com,https://www.crunchbase.com/organization/visage-payroll?ref=getlatka.com,//gigwage.com/?ref=getlatka.com, (US),Craig Lewis,,
4,Developerhub,https://www.linkedin.com/company/developer-hub/?ref=getlatka.com,https://www.crunchbase.com/organization/developerhub?ref=getlatka.com,//developerhub.io/?ref=getlatka.com, (GB),Zaid Daba’Een,,
5,Amberdata,https://www.linkedin.com/company/amberdata?ref=getlatka.com,https://www.crunchbase.com/organization/amberdata?ref=getlatka.com,//amberdata.io/?ref=getlatka.com, (US),Shawn Douglass,,
6,Perzonalization,https://www.linkedin.com/company/perzonalization?ref=getlatka.com,https://www.crunchbase.com/organization/perzonalization?ref=getlatka.com,//perzonalization.com/?ref=getlatka.com,Turkey,Ilke Karabogali,,
7,Salesloft,https://www.linkedin.com/company/salesloft?ref=getlatka.com,https://www.crunchbase.com/organization/salesloft?ref=getlatka.com,//salesloft.com/?ref=getlatka.com, (US),David Obrand,https://www.facebook.com/SalesLoft?ref=getlatka.com,https://twitter.com/SalesLoft?ref=getlatka.com
8,Truepush,https://www.linkedin.com/company/truepushweb/?viewAsMember=true&ref=getlatka.com,https://www.crunchbase.com/organization/truepush?ref=getlatka.com,//truepush.com/?ref=getlatka.com,Singapore,Ravi Vaka,,
9,Rapidvisa,https://www.linkedin.com/company/rapidvisa?ref=getlatka.com,https://www.crunchbase.com/organization/rapidvisa?ref=getlatka.com,//rapidvisa.com/?ref=getlatka.com, (US),Ben Ives,,
10,Metric,https://www.linkedin.com/company/metric-ai?ref=getlatka.com,https://www.crunchbase.com/organization/metric?ref=getlatka.com,//metric.ai/?ref=getlatka.com, (US),Andrey Baskov,,
11,Simplycast,https://www.linkedin.com/company/simplycast?ref=getlatka.com,https://www.crunchbase.com/organization/simplycast?ref=getlatka.com,//simplycast.com/?ref=getlatka.com, (CA),Saeed El-Darahali,,
12,Backboneplm,https://www.linkedin.com/company/backbone-plm?ref=getlatka.com,https://www.crunchbase.com/organization/backboneplm?ref=getlatka.com,//backboneplm.com/?ref=getlatka.com, (US),Matthew Klein,,
13,Emotorwerks,https://www.linkedin.com/company/enelx?ref=getlatka.com,,//emotorwerks.com/?ref=getlatka.com, (US),Preston Burke,,
14,Nōwn,https://www.linkedin.com/company/nownpos?ref=getlatka.com,https://www.crunchbase.com/organization/n%C5%8Dwn?ref=getlatka.com,//nownpos.com/?ref=getlatka.com, (CA),Amit Jhas,,
15,Phantombuster,https://www.linkedin.com/company/officialphantombuster/?ref=getlatka.com,https://www.crunchbase.com/organization/phantombuster?ref=getlatka.com,//phantombuster.com/?ref=getlatka.com,France,Guillaume Boiret,https://www.facebook.com/phbuster/?ref=getlatka.com,https://twitter.com/officialpbuster?ref=getlatka.com
16,Physna,https://www.linkedin.com/company/physna?ref=getlatka.com,https://www.crunchbase.com/organization/physna?ref=getlatka.com,//physna.com/?ref=getlatka.com, (US),Paul Powers,,
17,Aiqudo,https://www.linkedin.com/company/aiqudo?ref=getlatka.com,https://www.crunchbase.com/organization/aiqudo?ref=getlatka.com,//aiqudo.com/?ref=getlatka.com, (US),Rajat Mukherjee,,
18,Zbooni,https://www.linkedin.com/company/zbooni/?ref=getlatka.com,https://www.crunchbase.com/organization/zbooni?ref=getlatka.com,//zbooni.com/?ref=getlatka.com,United Arab Emirates,Ramy Assaf,,
19,Speak2Leads,https://www.linkedin.com/company/speak2leads?ref=getlatka.com,https://www.crunchbase.com/organization/speak2leads?ref=getlatka.com,//speak2leads.com/?ref=getlatka.com, (US),Sammy James,,
