,name,Company Crunchbase,website url,company location,company founder,Company linkedIn,Company facebook,Company Twitter
0,Cogsworth,https://www.crunchbase.com/organization/cogsworth?ref=getlatka.com,//cogsworth.com/?ref=getlatka.com, (AU),Boris Gefter,,,
1,Flowvella,https://www.crunchbase.com/organization/flowvella?ref=getlatka.com,//flowvella.com/?ref=getlatka.com, (US),Brent Brookler,https://www.linkedin.com/company/flowboard?ref=getlatka.com,,
2,Rublix,https://www.crunchbase.com/organization/rublix-development-inc?ref=getlatka.com,//rublix.com/?ref=getlatka.com,Singapore,Martin  Thomsen,,,
3,Rutapp,https://www.crunchbase.com/organization/rutapp?ref=getlatka.com,//rutapp.mx/?ref=getlatka.com,Mexico,Carlos Cabada,https://www.linkedin.com/showcase/rutapp?ref=getlatka.com,,
4,Airfocus,https://www.crunchbase.com/organization/airfocus?ref=getlatka.com,//airfocus.com/?ref=getlatka.com,Germany,Malte Scholz,https://www.linkedin.com/company/airfocus/?ref=getlatka.com,https://web.facebook.com/airfocus?ref=getlatka.com,https://twitter.com/airfocus?ref=getlatka.com
5,Tagove,https://www.crunchbase.com/organization/tagove?ref=getlatka.com,//tagove.com/?ref=getlatka.com, (US),Laduram Vishnoi,https://www.linkedin.com/company/tagove?ref=getlatka.com,,
6,GoComet,https://www.crunchbase.com/organization/comet-freight-forwarding?ref=getlatka.com,//gocomet.com/?ref=getlatka.com, (US),Gautam Prem Jain,https://www.linkedin.com/company/go-comet?ref=getlatka.com,,
7,Skubana,https://www.crunchbase.com/organization/skubana?ref=getlatka.com,//skubana.com/?ref=getlatka.com, (US),,https://www.linkedin.com/company/skubana?ref=getlatka.com,https://www.facebook.com/skubana?ref=getlatka.com,http://twitter.com/Skubana_ERP?ref=getlatka.com
8,Apres,https://www.crunchbase.com/organization/apres?ref=getlatka.com,//apres.io/?ref=getlatka.com, (US),Matt Waite,https://www.linkedin.com/company/apresdotio?ref=getlatka.com,,
9,Supermetrics,https://www.crunchbase.com/organization/supermetrics?ref=getlatka.com,//supermetrics.com/?ref=getlatka.com,Finland,Mikael Thuneberg,https://www.linkedin.com/company/supermetrics?ref=getlatka.com,https://www.facebook.com/Supermetrics/?ref=getlatka.com,https://twitter.com/Supermetrics?ref=getlatka.com
10,Adapt,https://www.crunchbase.com/organization/adapt?ref=getlatka.com,//adapt.io/?ref=getlatka.com, (IN),Pradeep  Muruganandam,https://www.linkedin.com/company/adapt-io?ref=getlatka.com,,
11,Hashtagloyalty,https://www.crunchbase.com/organization/hashtagloyalty?ref=getlatka.com,//hashtagloyalty.com/?ref=getlatka.com, (IN),Krishi Fagwani,https://www.linkedin.com/company/hashtag-loyalty?ref=getlatka.com,,
12,Scalex,https://www.crunchbase.com/organization/scalex?ref=getlatka.com,//scalex.ai/?ref=getlatka.com, (US),Chad Burmeister,https://www.linkedin.com/company/scalex-ai?ref=getlatka.com,,
13,Revtrax,https://www.crunchbase.com/organization/revtrax?ref=getlatka.com,//revtrax.com/?ref=getlatka.com, (US),Jonathan Treiber,https://ca.linkedin.com/company/revtrax?ref=getlatka.com,,
14,Hitreset,https://www.crunchbase.com/organization/hitreset?ref=getlatka.com,//hitreset.io/?ref=getlatka.com, (US),Siri Chakka,https://www.linkedin.com/company/resetatx?ref=getlatka.com,,
15,Getoutlaw,https://www.crunchbase.com/organization/getoutlaw?ref=getlatka.com,//getoutlaw.com/?ref=getlatka.com, (US),Evan Schneyer,https://www.linkedin.com/company/getoutlaw?ref=getlatka.com,,
16,Encaptiv,https://www.crunchbase.com/organization/encaptiv?ref=getlatka.com,//encaptiv.com/?ref=getlatka.com, (US),Shannon Daniels,https://www.linkedin.com/company/encaptiv?ref=getlatka.com,,
17,WhatConverts,https://www.crunchbase.com/organization/whatconverts?ref=getlatka.com,//whatconverts.com/?ref=getlatka.com, (US),Michael Cooney,https://www.linkedin.com/company/whatconverts?ref=getlatka.com,,
18,Gtex,,//gtex.org.uk/?ref=getlatka.com, (GB),Simone Vincenzi,https://www.linkedin.com/company/gtexuk/?ref=getlatka.com,,
19,Leaflink,https://www.crunchbase.com/organization/leaflink?ref=getlatka.com,//leaflink.com/?ref=getlatka.com, (US),Samuel Phillips Lee,https://ca.linkedin.com/company/leaflink?ref=getlatka.com,,
