,name,Company linkedIn,Company Crunchbase,website url,company location,company founder,Company Twitter,Company facebook
0,Swooptalent,https://www.linkedin.com/company/swooptalent?ref=getlatka.com,https://www.crunchbase.com/organization/swooptalent?ref=getlatka.com,//swooptalent.com/?ref=getlatka.com, (US),,,
1,Rankwatch,https://www.linkedin.com/company/rankwatch?ref=getlatka.com,https://www.crunchbase.com/organization/rankwatch?ref=getlatka.com,//rankwatch.com/?ref=getlatka.com, (IN),Vaibhav Kakkar,https://twitter.com/RankWatch?ref=getlatka.com,
2,Tradablebits,https://ca.linkedin.com/company/tradable-bits?ref=getlatka.com,https://www.crunchbase.com/organization/toggleme?ref=getlatka.com,//tradablebits.com/?ref=getlatka.com, (CA),Darshan Kaler,,
3,Theseventhsense,https://www.linkedin.com/company/the-seventh-sense?ref=getlatka.com,https://www.crunchbase.com/organization/theseventhsense?ref=getlatka.com,//theseventhsense.com/?ref=getlatka.com, (US),Mike Donnelly,,
4,Funnelenvy,https://www.linkedin.com/company/funnelenvy?ref=getlatka.com,https://www.crunchbase.com/organization/funnelenvy?ref=getlatka.com,//funnelenvy.com/?ref=getlatka.com, (US),Arun Sivashankaran,,
5,Shopperapproved,https://ca.linkedin.com/company/shopper-approved?ref=getlatka.com,https://www.crunchbase.com/organization/shopper-approved?ref=getlatka.com,//shopperapproved.com/?ref=getlatka.com, (US),Scott Brandley,,
6,Soloseo,https://www.linkedin.com/company/soloseo/about/?ref=getlatka.com,https://www.crunchbase.com/organization/soloseo?ref=getlatka.com,//soloseo.com/?ref=getlatka.com, (US),Michael Jensen,,
7,Moosend,https://www.linkedin.com/company/moosend?ref=getlatka.com,https://www.crunchbase.com/organization/moosend?ref=getlatka.com,//moosend.com/?ref=getlatka.com, (GB),,https://twitter.com/moosendapp?ref=getlatka.com,
8,Showpad,https://www.linkedin.com/company/showpad?ref=getlatka.com,https://www.crunchbase.com/organization/showpad?ref=getlatka.com,//showpad.com/?ref=getlatka.com, (US),Hendrik Isebaert,https://twitter.com/showpad?ref=getlatka.com,https://www.facebook.com/ShowpadApp?ref=getlatka.com
9,Loop54,https://hr.linkedin.com/company/loop54?ref=getlatka.com,https://www.crunchbase.com/organization/loop54?ref=getlatka.com,//loop54.com/?ref=getlatka.com,Sweden,,,
10,Trackur,,https://www.crunchbase.com/organization/trackur?ref=getlatka.com,//trackur.com/?ref=getlatka.com, (US),Andy Beal,,
11,Brandwatch,https://www.linkedin.com/company/brandwatch?ref=getlatka.com,https://www.crunchbase.com/organization/brandwatch?ref=getlatka.com,//brandwatch.com/?ref=getlatka.com, (GB),Giles Palmer,,
12,webz.io,https://www.linkedin.com/company/webz-io-official?ref=getlatka.com,https://www.crunchbase.com/organization/webhose?ref=getlatka.com,//webz.io/?ref=getlatka.com,Israel,Ran Geva,https://twitter.com/webz_io?ref=getlatka.com,https://www.facebook.com/Webz.io/?ref=getlatka.com
13,Fotoware,https://www.linkedin.com/company/fotoware-a.s?ref=getlatka.com,https://www.crunchbase.com/organization/fotoware?ref=getlatka.com,//fotoware.com/?ref=getlatka.com,Norway,Anne Gretland,,
14,Leaddyno,https://www.linkedin.com/company/leaddyno?ref=getlatka.com,https://www.crunchbase.com/organization/leaddyno?ref=getlatka.com,//leaddyno.com/?ref=getlatka.com, (US),Brett Owens,,
15,Gomodus,https://www.linkedin.com/company/modusengagement/?ref=getlatka.com,https://www.crunchbase.com/organization/app-data-room?ref=getlatka.com,//gomodus.com/?ref=getlatka.com, (US),Jeremy Schultz,,
16,Easyredir,https://www.linkedin.com/company/easyredir?ref=getlatka.com,https://www.crunchbase.com/organization/easyredir?ref=getlatka.com,//easyredir.com/?ref=getlatka.com, (CA),William Richards,,
17,Salecycle,https://www.linkedin.com/company/salecycle?ref=getlatka.com,https://www.crunchbase.com/organization/salecycle?ref=getlatka.com,//salecycle.com/?ref=getlatka.com, (GB),Judith Robertson,,
18,Processmaker,https://www.linkedin.com/company/processmaker/?ref=getlatka.com,https://www.crunchbase.com/organization/processmaker?ref=getlatka.com,//processmaker.com/?ref=getlatka.com, (US),Brian Reale,https://twitter.com/processmaker?ref=getlatka.com,
19,Bloomreach,https://in.linkedin.com/company/bloomreach?ref=getlatka.com,https://www.crunchbase.com/organization/bloomreach?ref=getlatka.com,//bloomreach.com/?ref=getlatka.com, (US),Raj De Datta,https://twitter.com/bloomreach_tm?ref=getlatka.com,https://www.facebook.com/bloomreachlife?ref=getlatka.com
